project_code,period,mo,project_name,sector,agency,state,exit_status,effective_cost,f_vel_mean,f_vel_last,f_vel_std,f_burn_mean,f_stall_share,f_stall_run,f_n_snapshots,f_n_doc_changes,f_n_cost_changes,f_n_antic_doc_changes,f_progress,f_fin_progress,f_progress_gap,f_age_mo,f_planned_mo,f_elapsed_share,f_months_past_doc,f_overdue,f_mo_remaining,f_required_vel,f_feasibility,f_is_cost_revised,f_is_sched_revised,f_cost_revision_pct,f_slip_days,f_antic_cost_gap_pct,f_antic_doc_gap_days,f_log_cost,y_cost_esc,y_time_esc,y_adverse
060100093,2024-07,24295,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATTISGARH,on_roster,11816.4,,,,,,0,1,0.0,0.0,0.0,77.0,50.151653633932504,-26.848346366067496,168.98817345597897,152.95663600525623,1.104810996563574,16.031537450722734,1,-16.031537450722734,,,0,0,0.0,0.0,0.0,731.0,9.377328300604933,0,0,0
060100093,2024-09,24297,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATTISGARH,on_roster,11816.4,0.0,0.0,,112.98000000000002,1.0,1,2,0.0,0.0,0.0,77.0,52.063911174300124,-24.936088825699876,171.02496714848883,152.95663600525623,1.118127147766323,18.068331143232587,1,-18.068331143232587,,,0,0,0.0,0.0,0.0,731.0,9.377328300604933,0,0,0
060100093,2024-10,24298,GEVRA EXPANSION OCP (SECL) (35- 70) MTY,COAL,SECL,CHHATTISGA,on_roster,11816.4,0.0,0.0,0.0,73.37500000000023,1.0,2,3,0.0,0.0,0.0,77.0,52.34970041637047,-24.650299583629533,172.01051248357425,152.95663600525623,1.1245704467353952,19.053876478318003,1,-19.053876478318003,,,0,0,0.0,0.0,0.0,731.0,9.377328300604933,0,0,0
060100093,2024-12,24300,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATTISGARH,on_roster,11816.4,0.0,0.0,0.0,36.697500000000105,1.0,4,5,0.0,0.0,0.0,77.0,52.35003892894621,-24.649961071053788,174.01445466491458,152.95663600525623,1.1376718213058419,21.057818659658345,1,-21.057818659658345,,,0,0,0.0,0.0,0.0,731.0,9.377328300604933,0,1,1
060100093,2025-01,24301,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATTISGARH,on_roster,11816.4,0.0,0.0,0.0,43.13800000000001,1.0,5,6,0.0,0.0,0.0,77.0,52.93312684066213,-24.066873159337867,175.0328515111695,152.95663600525623,1.1443298969072164,22.07621550591327,1,-22.07621550591327,,,0,0,0.0,0.0,0.0,731.0,9.377328300604933,0,1,1
060100093,2025-03,24303,GEVRA EXPANSION OCP (SECL) (35-70) MTY,COAL,SECL,CHHATTISGARH,on_roster,11816.4,0.016666666666666902,0.10000000000000142,0.04082482904638689,60.36500000000001,0.8333333333333334,0,7,1.0,0.0,1.0,77.2,55.41273145797366,-21.78726854202634,176.9710906701708,152.95663600525623,1.1570017182130583,24.014454664914584,1,11.990801576872535,1.9014575342465754,0.008765205831047299,0,1,0.0,1096.0,0.0,0.0,9.377328300604933,0,0,0
180100210,2024-07,24295,PARBATI HEP (4X200 MW) (NHPC) II,POWER,NHPC,HIMACHAL PRADESH,on_roster,3919.59,,,,,,0,1,0.0,0.0,0.0,97.73,298.6355715776395,200.90557157763948,261.957950065703,84.00131406044677,3.1184982401251466,177.95663600525623,1,-177.95663600525623,,,0,0,0.0,0.0,210.23652984113133,5570.0,8.273997431663066,0,1,1
180100210,2024-09,24297,PARBATI HEP (4X200 MW) (NHPC) II,POWER,NHPC,HIMACHAL PRADESH,on_roster,3919.59,0.0899999999999963,0.0899999999999963,,86.8799999999992,0.0,0,2,0.0,0.0,0.0,97.91,303.06868830668515,205.15868830668515,263.99474375821285,84.00131406044677,3.1427454047712162,179.9934296977661,1,-179.9934296977661,,,0,0,0.0,0.0,210.23652984113133,5570.0,8.273997431663066,1,1,1
180100210,2024-10,24298,PARBATI HEP (4X200 MW) (NHPC) II,POWER,NHPC,HIMACHAL PRADESH,on_roster,3919.59,0.09999999999999787,0.10999999999999943,0.014142135623733162,69.84000000000015,0.0,0,3,0.0,0.0,1.0,98.02,304.41576797573214,206.39576797573216,264.98028909329827,84.00131406044677,3.154477903793508,180.9789750328515,1,-180.9789750328515,,,0,0,0.0,0.0,210.23652984113133,5632.0,8.273997431663066,1,0,1
180100210,2024-12,24300,PARBATI HEP (4X200 MW) (NHPC) II,POWER,NHPC,HIMACHAL PRADESH,on_roster,3919.59,0.15999999999999837,0.3199999999999932,0.10739335795724368,60.809999999999945,0.0,0,5,0.0,0.0,1.0,98.46,307.05788105388575,208.59788105388577,266.9842312746386,84.00131406044677,3.1783339851388344,182.98291721419184,1,-182.98291721419184,,,0,0,0.0,0.0,218.27308468487777,5660.0,8.273997431663066,1,1,1
