Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
,1,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI,AAI,N04000075,TAMIL NADU,951.28,10/2021,"1,084.94"
,2,"CO CIVIL AVIATION REASEARCH ORG. (PH-II) AT BEGUMPET AIRPORT, HYDRABAD",AAI,N04000086,TELANGANA,353.61,05/2022,303.22
PETROLEUM,3,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,AAI,N04000089,ANDHRA PRADESH,177.10,02/2020,143.08
PETROLEUM,4,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,N16000343,ANDHRA PRADESH,355.00,04/2022,249.00
PETROLEUM,5,MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV,ONGC,N16000358,MAHARASHTRA,"3,228.80",03/2022,"3,867.19"
POWER,6,AUGMENTATION OF FACILITIES AT THE EXISTING RAIPUR DEPOT,HPCL,N16000413,CHHATTISGARH,456.00,03/2024,271.44
POWER,7,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART C,PGCIL,N18000338,MULTI STATE,186.19,03/2025,91.53
POWER,8,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME XXVII,PGCIL,N18000354,CHHATTISGARH,271.69,09/2024,192.03
ROAD TRANSPORT AND HIGHWAYS,9,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME-XXVIII AND XXIX,PGCIL,N18000355,CHHATTISGARH,260.30,03/2025,197.79
HIGHWAYS,10,"IMPROVEMENT AND UP-GRADATION OF EXISTING ROAD TO 4L PS FROM KM 175.080 TO 229.070, FROM END OF HARDO",NHAI,N24001728,UTTAR PRADESH,"1,138.81",07/2025,528.10
HIGHWAYS,11,CONSTRUCTION OF 8LANE EXPRESSWAY NE4 STARTING BEFORE KMP EXPRESSWAY AND ENDS AT CH. 47+000 NEAR KHAN,NHAI,N24001783,HARYANA,"2,252.75",09/2021,"1,223.07"
HIGHWAYS,12,SANCHORE - SANTALPUR FROM KM 4.888 - KM 35.000 OF NH-754K (AJ-RGBS-PACKAGE-1),NHAI,N24001791,GUJARAT,606.51,06/2023,453.89
