Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
ROAD TRANSPORT AND HIGHWAYS,1,KARMA OCP (1.0MTY),CCL,N06000088,JHARKHAND,162.46,03/2014,95.92
AND HIGHWAYS,2,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH-29 FROM 88.00 148.00 KM 4-LANNING OF VARANASI GORAKHPU,NHAI,N24000549,UTTAR PRADESH,"1,396.74",10/2019,"3,986.50"
AND HIGHWAYS,3,CONSTRUCTION OF PARTIALLY ACESS CONTROLLED FOUR LANE ELEVATED HIGHWAY BETWEEN SAMRALA CHOWK (DESIGN,NHAI,N24000662,PUNJAB,754.54,03/2020,800.29
AND HIGHWAYS,4,SIX-LANNING OF GREENFIELD PROPOSED UDAIPUR BYPASS PKG-IV,NHAI,N24000691,RAJASTHAN,894.00,04/2020,"1,082.77"
AND HIGHWAYS,5,FOUR LANING OF DANGIAWAS (KM 96.595 TO NH- 112) TO JAJIWAL (KM 283.500 OF NH 65 NAGAUR ROAD) SECTIO,NHAI,N24000711,RAJASTHAN,"1,308.73",12/2020,"1,308.73"
AND HIGHWAYS,6,CONSTRUCTION OF 2 LANING OF EXISTING HUNLI- ANINI ROAD ON EPC BASIS FROM DESIGN KM 106.200 TO KM 120.,NHIDCL,N24000944,ARUNACHAL PRADESH,200.44,01/2020,161.25
AND HIGHWAYS,7,6-LANING OF VIJAYAWADA BYPASS FROM CHINNA AVUTUPALLI (DESIGN CH.0+000) TO GOLLAPUDI (DESIGN CH. 30+0,NHAI,N24001300,ANDHRA PRADESH,"1,226.88",02/2021,"1,438.66"
AND HIGHWAYS,8,TWO- LANE WITH PAVED SHOULDER CONFIGURATION OF IMPHAL - MOREH SECTION OF NH-39 FROM KM 330 TO KM 350,NHIDCL,N24001333,ASSAM,761.54,05/2023,430.31
AND HIGHWAYS,9,4L+PS OF RAS-BEAWAR SECTION (KM 0.00 TO KM 30.00) OF NH-158 (GNHCP) WORLD BANK. PKG-I.,MoRTH,N24001409,RAJASTHAN,319.09,03/2024,138.67
AND HIGHWAYS,10,4L+PS OF NH -58 FROM BEAWAR-GOMTI (OLD CH KM 108.600 TO KM 144 KM 158.419 TO KM 173.300 PKG-II.,MoRTH,N24001412,RAJASTHAN,339.65,10/2023,207.23
AND HIGHWAYS,11,2L+PS FROM KM 148/170 TO 211 /100 (DEVAL- DUNGARPUR-HIRATA - VARDA-SAGWARA) SECTION OF NH-927A. PKG-,MoRTH,N24001413,RAJASTHAN,240.99,01/2024,233.39
AND HIGHWAYS,12,CONSTRUCTION OF 4 LANE ELEVATED VIADUCT AT KM. 7.500 MUNSHI PULIA OF NH-24A,MoRTH,N24001460,UTTAR PRADESH,170.60,09/2024,153.26
AND HIGHWAYS,13,UPGRADATION AND REHABILITATION TO TWO LANE WITH PAVED SHOULDER OF BARMER GHAGARIYA SECTION FROM KM 0,MoRTH,N24001531,RAJASTHAN,304.87,08/2024,289.31
AND HIGHWAYS,14,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (PHASE-I) (AJ/SR-PACKAGE-2),NHAI,N24001560,RAJASTHAN,755.16,10/2023,755.16
AND HIGHWAYS,15,SANGARIYA (NEAR CHAUTALA)-RASISAR (NEAR BIKANER) (PHASE-I) (AJ/SR-PACKAGE-1),NHAI,N24001562,RAJASTHAN,738.90,10/2023,738.90
AND HIGHWAYS,16,DELHI-VADODARA GREENFIELD ALIGNMENT (NH- 148N) (PKG-16) (CH. 427.300 TO CH.452.420) [MAJOR BRIDGE OVE,NHAI,N24001572,RAJASTHAN,952.57,01/2023,952.57
AND HIGHWAYS,,Total,,,,"10,527.16",,"12,772.92"
