Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
,1,DURGAPUR EXTENSION (DEEP) OC (3.0 MTY),WCL,N06000157,MULTI STATE,3 2 8 . 0 0,03/2021,378.87
PETROLEUM,2,BELLORA-NAIGAON DEEP OC,WCL,N06000180,MAHARASHTRA,2 5 2 . 7 1,03/2021,222.51
PETROLEUM,3,"CONSTRUCTION OF CAPTIVE POL LPG JETTY AT KAMARAJAR PORT, CHENNAI",IOCL,N16000403,TAMIL NADU,921.00,09/2023,777.15
POWER,4,"GAS ASSISTED GRAVITY DRAINAGE SCHEME, KASOMARIGAON",ONGC,N16000433,ASSAM,218.38,02/2023,218.00
POWER,5,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000306,RAJASTHAN,"1,562.00",12/2022,"1,324.25"
POWER,6,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000307,RAJASTHAN,"1,006.00",12/2022,884.11
POWER,7,NORTH EASTERN REGION STRENGTHENING SCHEME-XII,PGCIL,N18000316,MULTI STATE,5 7 6 . 4 2,03/2023,419.96
POWER,8,KALPI SOLAR POWER PROJECT,NHPC,N18000323,UTTAR PRADESH,3 1 4 . 6 4,03/2022,331.25
ROAD TRANSPORT AND HIGHWAYS,9,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,PGCIL,N18000184,MULTI STATE,197.40,03/2018,162.89
HIGHWAYS,10,4-LANNING OF VARANASI GORAKHPUR SECTION OF NH- 29 FROM 148.00 208.300 KM [PACKAGE-IV],NHAI,N24000551,UTTAR PRADESH,"1,587.49",04/2019,"3,379.63"
HIGHWAYS,11,NAGPUR RING ROAD PACKAGE-1,NHAI,N24000558,MAHARASHTRA,5 4 6 . 0 0,07/2019,528.35
HIGHWAYS,12,FOUR LANING OF BARHI - KODERMA SECTION OF NH - 31,NHAI,N24000725,JHARKHAND,2 7 3 . 4 6,11/2021,255.63
HIGHWAYS,13,FOUR LANING OF BALACHERA-HARANGAJAO SECTION OF NH-54 (EXT) FROM KM 275.00 TO KM 244.000 IN THE STATE,NHIDCL,N24000902,ASSAM,818.00,06/2020,874.30
HIGHWAYS,14,"CONSTRUCTION, OPERATION AND MAINTENANCE OF Z- MORH TUNNEL INCLUDING APPROACHES ON NH-01 SRINAGAR-SONA",NHIDCL,N24001253,JAMMU AND KASHMIR,"2,680.42",12/2023,0.00
HIGHWAYS,15,2-LANING OF KHOWAI -AGARTALA SECTION FROM DESIGN KM 31.300 TO KM 45.300 OF NH-208A PKG-3,NHIDCL,N24001318,TRIPURA,173.17,04/2022,93.35
HIGHWAYS,16,IMPHAL ? MOREH (PACKAGE 4),NHIDCL,N24001399,MANIPUR,2 7 7 . 9 9,01/2023,146.35
URBAN DEVELOPMENT,17,DIBRUGARH-LAHOAL-CHABUA BYPASS PACKAGE-2,NHIDCL,N24001452,ASSAM,1 7 0 . 9 5,07/2024,125.71
URBAN DEVELOPMENT,18,DELHI METRO RAIL EXTENSION FROM NAJAFGARH TO DHANSA BUS STAND,DMRC,N28000136,DELHI,565.00,12/2020,522.33
URBAN DEVELOPMENT,19,KOCHI METRO RAIL PROJECT,KMRCL,N28000081,KERALA,"5 , 1 8 1 . 79",07/2017,"6,059.17"
URBAN DEVELOPMENT,20,CHENNAI METRO RAIL LTD (PHASE 1),CMRL,N28000084,TAMIL NADU,"1 4 , 6 0 0 . 0 0",12/2015,"17,619.68"
WATER RESOURCES,21,CHENNAI METRO RAIL LTD (PHASE 1 EXT),CMRL,N28000097,TAMIL NADU,"3 , 7 7 0 . 0 0",03/2018,"2,527.73"
WATER RESOURCES,22,PROTECTION OF MAJULI ISLAND FROM FLOOD AND EROSION OF RIVER BRAHMAPUTRA,BPB,N30000001,MAHARASHTRA,233.57,12/2019,217.42
WATER RESOURCES,,Total,,,,"36,254.39",,"37,068.64"
