Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
PETROLEUM,1,"CONSTRUCTION OF INTERNATIONAL CENTRE FOR PERFORMING ARTS AND CULTURE,SHILONG IN MEGALAYA UNDER NLCPR",HSCL FOR DONER,N12000103,MEGHALAYA,151.33,09/2017,148.33
PETROLEUM,2,Fuel Quality Upgradation Project at Paradip Refinery,IOCL,N16000362,ODISHA,"3 , 3 6 1 . 0 0",08/2021,"2,727.60"
PETROLEUM,3,INSTALLATION OF STANDBY SRU TRAIN OF 525 TPD ALONGWITH INCINERATOR AT PARADIP REFINERY,IOCL,N16000368,ODISHA,427.10,09/2022,312.13
PETROLEUM,4,"CGD PROJECT AT JHUNJHUNU, SIKAR AND NAGAUR DISTRICTS",IOCL,N16000489,RAJASTHAN,575.00,03/2030,124.37
PETROLEUM,5,"CGD PROJECT AT MADURAI, THENI AND VIRUDHNAGAR DISTRICTS",IOCL,N16000490,TAMIL NADU,"1,328.00",03/2030,149.21
PETROLEUM,6,"CGD PROJECT AT KANYAKUMARI, TUTICORIN, TIRUNVELI KATTABO AND TENKASI DISTRICTS",IOCL,N16000492,TAMIL NADU,"1,295.00",03/2030,145.61
POWER,7,"SETTING UP LUBE COMPLEX AT VILLAGES AMULLAVOYAL AND VAIKKADU, CHENNAI AS RESITEMENT OF EXISTING FACI",IOCL,N16000405,TAMIL NADU,"1,398.00",12/2023,"1,303.66"
POWER,8,ANTA SOLAR 90 MW,NTPC,N18000292,RAJASTHAN,382.22,03/2022,497.17
POWER,9,CHHATTARGARH 150 MW,NTPC,N18000294,RAJASTHAN,5 9 9 .99,07/2022,599.99
POWER,10,DURGAPUR PP-III (2X20 MW) - NSPCL,NTPC,N18000277,WEST BENGAL,5 2 9 . 6 8,11/2018,558.39
ROAD TRANSPORT AND HIGHWAYS,11,TELANGANA SUPER THERMAL POWER PROJECT PHASE I,NTPC,N18000212,TELANGANA,"10,598.98",11/2020,"10,437.71"
HIGHWAYS,12,CONSTRUCTION OF 8 LANE DWARKA EXPRESSWAY (NH- 248BB PACKAGE IV FROM RAIL OVER BRIDGE (ROB) TILL END P,NHAI,N24000835,HARYANA,"1,484.30",12/2020,"1,376.15"
HIGHWAYS,13,CONSTRUCTION OF TWINS 2-LANE ROB AND ITS APPROACHES IN REPLACEMENT OF EXISTING LEVEL CROSSING GATE N,MoRTH,N24000887,WEST BENGAL,236.78,09/2021,232.54
HIGHWAYS,14,2L+PS OF THIKRI ANJAD SECTION OF NH-347B,MoRTH,N24000892,MADHYA PRADESH,2 4 9 . 0 5,07/2018,221.19
HIGHWAYS,15,SIX LANING OF CHAKERI TO ALLAHABAD SECTION OF NH-2 FROM KM 483.687 TO KM 628.753 (DESIGN LENGTH ? 14,NHAI,N24001185,UTTAR PRADESH,"2,159.00",07/2021,"3,110.50"
HIGHWAYS,16,IMPHAL ? MOREH PACKAGE- 3,NHIDCL,N24001352,MANIPUR,2 5 9 . 3 1,12/2022,144.94
HIGHWAYS,17,ALLAHGANJ TO MIRANPUR KATRA SECTION OF NH-730C FROM KM.52.770 TO 114.00,MoRTH,N24001463,UTTAR PRADESH,294.84,07/2024,303.27
HIGHWAYS,18,DWARKA EXPRESSWAY PKG-III (DELHI/HR BORDER TO START OF ROB GURUGRAM),NHAI,N24001780,HARYANA,"2,228.00",11/2020,"1,628.60"
HIGHWAYS,19,MULAKALACHERUVU TO MADANAPALLE SECTION OF NH42 FROM KM 202.050 TO KM 245.640 EXCLUDING RETAINED STRE,MoRTH,N24001933,ANDHRA PRADESH,480.10,12/2024,443.87
HIGHWAYS,20,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM CH.75.330KM TO CH.88.00KM (DESIGN CH.71.800,NHIDCL,N24001248,ASSAM,208.84,04/2022,193.59
HIGHWAYS,,Total,,,,"28,246.52",,"24,658.82"
