Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
,1,EASTERN REGION STRENTHENING SCHEME XVII( PART B),PGCIL,N18000244,MULTI STATE,235.53,06/2019,170.26
,2,TRANSMISSION SYSTEM FOR EVACUTION OF POWER FROM NEYVELI LIGNITE CORP LTD TS - I (REPLACEMENT) IN NEY,PGCIL,N18000262,TAMIL NADU,186.17,07/2019,180.54
,3,"TRANSMISSION SYSTEM FOR POWER EVACUATION FROM ARUN-3 (900MW) HEP, NEPAL OF M/S SAPDC- INDIAN PORTION",PGCIL,N18000299,BIHAR,179.29,04/2023,116.97
,4,IMPLEMENTATION OF 500 MVAR THYRISTOR CONTROLLED REACTOR AT KURUKSHETRA,PGCIL,N18000302,HARYANA,267.33,03/2022,111.63
,5,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000303,RAJASTHAN,353.85,12/2022,273.06
,6,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000304,RAJASTHAN,1340.81,12/2022,1318.34
,7,"TRANSMISSION SYSTEM FOR PROVIDING CONNECTIVITY TO RE PROJECTS AT BIKANER (PG), FATEHGARH-II AND BHAD",PGCIL,N18000314,RAJASTHAN,562.86,01/2021,409.38
,8,RELIABLE COMMUNICATION SCHEME UNDER CENTRAL SECTOR FOR NORTHERN REGION,PGCIL,N18000317,MULTI STATE,241.38,11/2021,243.75
,9,"NORTH EAST-NORTHERN/ WESTERN INTERCONNECTOR-I, PART-C",PGCIL,N18000327,ASSAM,1326,03/2023,1466.21
,10,AUGMENTATION OF TRANSFORMATION CAPACITY IN SOUTHERN REGION.,PGCIL,N18000329,MULTI STATE,176.22,03/2023,95.43
,11,RELIABLE COMMUNICATION SCHEME UNDER CENTRAL SECTOR FOR SOUTHERN REGION,PGCIL,N18000339,MULTI STATE,173.94,11/2021,130.76
,12,POWERGRID NEEMUCH TRANSMISSION SYSTEM LIMITED,PGCIL,N18000341,MULTI STATE,863.99,02/2024,547.13
ROAD TRANSPORT AND HIGHWAYS,13,SCHEME TO RELIEVE HIGH LOADING OF WR-NR INTER REGIONAL CORRIDOR,PGCIL,N18000371,RAJASTHAN,200.58,05/2024,134.39
AND HIGHWAYS,14,FOUR LANING OF NUMALIGARH TO JORHAT SECTION FROM KM. 402.500 TO KM. 453.000 (DESIGN KM 403.200 TO KM,NHIDCL,N24000305,ASSAM,454.89,05/2018,569.94
AND HIGHWAYS,15,JABALPUR TO HIREN RIVER SECTION OF NH-12 IN MADHYA PRADESH KM 11/400 TO 66/400,MoRTH,N24000475,MADHYA PRADESH,628.45,01/2020,531.11
AND HIGHWAYS,16,INTEGRATED STRUCTURE WITH DEVELOPMENT OF OTHER ALLIED STRUCTURES ON BOTH SIDES OF CHANDNI CHOWK JUNC,NHAI,N24001485,MAHARASHTRA,397.6,02/2022,375.1
AND HIGHWAYS,17,UPGRADATION OF REWA-SIRMOUR ROAD TO 2L + PS,MoRTH,N24000870,MADHYA PRADESH,162.56,03/2018,141.26
AND HIGHWAYS,18,WIDENING OF EXISTING ROAD TO 2 LANE WITH PAVED SHOULDER FROM HUKANJURI TO KHONSA SECTION OF NH-315A,MoRTH,N24001376,ARUNACHAL PRADESH,182.55,03/2027,119.02
AND HIGHWAYS,19,WIDENING EXISTING 2 LANE TO 4 LANE WITH PAVED SHOULDER INCLUDING STRENGTHENING CARRIAGEWAY FROM KM 8,MoRTH,N24001380,TAMIL NADU,302.62,02/2021,324.68
STEEL,20,MARIAM - PEREN (PKG 2A),NHIDCL,N24001398,MANIPUR,204.58,03/2023,126.78
STEEL,21,UP GRADATION OF AUTOMATION SYSTEM OF HOT STRIP MILL AT BOKARO STEEL PLANT,SAIL,N12000126,JHARKHAND,207.74,06/2024,185.01
STEEL,,Total,,,,8648.94,,7570.75
