Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
,1,CITY GAS DISTRIBUTION IN WEST BENGAL,HPCL,N16000392,WEST BENGAL,"5,830.20",03/2031,875.27
,2,CGD PROJECT AT NAWADA AND KODERMA DISTRICTS,IOCL,N16000426,MULTI STATE,169.00,12/2029,71.00
POWER,3,"CGD PROJECT IN TONK, SAWAI MADHOPUR, DAUSA, KARAULI",HPCL,N16000496,RAJASTHAN,"1,751.00",03/2030,301.39
POWER,4,BHENSARA 320 MW,NTPC,N18000293,RAJASTHAN,"1,221.73",07/2022,"1,139.42"
POWER,5,"150 MW SOLAR PV PROJECT IN GUJARAT (LIMBDI, MESANKA AND RADHANPUR)",NTPC,N18000296,GUJARAT,674.92,09/2022,572.53
RAILWAYS,6,SAMBHU KI BHURJ-II SOLAR 300MW,NTPC,N18000286,RAJASTHAN,"1,782.00",09/2021,"1,369.88"
ROAD TRANSPORT AND HIGHWAYS,7,KARAIKAL PERALAM(23KM)-NEW LINE PROJECT,SR,N22000625,TAMIL NADU,304.22,03/2026,292.65
HIGHWAYS,8,REHABILITATION AND UPGRADATION OF BHOKARDAN TO KUMBHARI FATA DESIGN CH. (KM 13+500 TO 17+00) AND RAJ,MoRTH,N24001887,MAHARASHTRA,291.37,06/2024,157.59
HIGHWAYS,9,"UP-GRADATION OF TIRORA-GONDIA, STATE HIGHWAY FROM EXISTING KM 163+213 (ON SH-335, TIRORA) TO KM 191+",MoRTH,N24001888,MAHARASHTRA,288.14,04/2023,72.78
HIGHWAYS,10,2 LANE + PS PIMPLNER TO SATANA -[DESIGN CHAINAGE KM 21.427 TO 64.00 ] OF NH-752G],MoRTH,N24001889,MAHARASHTRA,277.81,07/2021,155.01
HIGHWAYS,11,2 LANE + PS ASTHAMODE - TIVATYAL [DESIGN CH. KM 24.300 - 62.00] [KM 134.98-172.95 OF NH-63],MoRTH,N24001894,MAHARASHTRA,228.82,07/2021,145.50
HIGHWAYS,12,REHABILATION AND UPGRADATION TO TWO LANES WITH PAVED SHOULDER CONFIGURATION FROM WATUR TO CHARTHANA,MoRTH,N24001895,MAHARASHTRA,228.01,09/2023,106.11
HIGHWAYS,13,"CONSTRUCTION OF MAJOR BRIDGE ACROSS MANJRA RIVER NEAR YESGI VILLAGE @ KM, 166/500 ON NH 63 TQ BILOLI",MoRTH,N24001905,MAHARASHTRA,188.69,08/2023,111.25
HIGHWAYS,14,"STRENGTHING AND WIDINING OF EXISTING CARRIAGEWAY TO 10 M IN KM, 156/160 TO 229/160 (TEMBHURNI - KUSL",MoRTH,N24001909,MAHARASHTRA,157.72,06/2024,80.37
HIGHWAYS,15,KEIFANG - TUVAI PKG-1,NHIDCL,N24001440,MIZORAM,492.94,05/2023,365.86
HIGHWAYS,16,BALANCE WORK 2-LANE WITH PAVED SHOULDERS OF NAGAPATTINAM - THANJAVUR SECTION OF NH-67 (NEW NH-83),NHAI,N24001600,TAMIL NADU,434.12,05/2023,268.92
HIGHWAYS,17,4-LANING OF ODDANCHATRAM - MADATHUKULAM SECTION OF NH-209 (NEW NH-83),NHAI,N24001603,TAMIL NADU,"1,518.53",10/2022,915.40
HIGHWAYS,18,STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK- GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,NHAI,N24002137,MAHARASHTRA,175.00,03/2025,201.00
HIGHWAYS,19,CONSTUCTION/UPGRADATION OF EXISTING HIGHWAY TO 2 LANE WITH PAVED SHOULDER FROM KM 26.10 TO KM 40.00,NHIDCL,N24001254,SIKKIM,242.97,06/2022,246.91
HIGHWAYS,20,2-LANING OF CHANGTONGYA TO LONGLENG ROAD OF NH-702 (PKG-I),NHIDCL,N24001286,NAGALAND,278.95,06/2022,166.29
