Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
,1,SWRO II WITH LLPH FACILITIES,HPCL,N16000378,ANDHRA PRADESH,1 9 6 .26,07/2020,196.26
,2,VISAKH REFINERY MODERNISATION PROJECT,HPCL,N16000235,ANDHRA PRADESH,"2 0 , 9 2 8 . 0 0",07/2020,"28,002.00"
,3,DEVELOPMENT PLAN OF CBM - BOKARO BLOCK,ONGC,N16000239,JHARKHAND,8 2 3 . 2 7,03/2023,"1,067.89"
,4,PIPELINE REPLACEMENT PROJECT - VII,ONGC,N16000436,MAHARASHTRA,"3 , 1 8 3 . 5 8",05/2024,"3,417.00"
ROAD TRANSPORT AND HIGHWAYS,5,"UPGRADING IPSHEM TO WORLD CLASS FACILITY OF ONGC, GOA",ONGC,N16000502,GOA,325.53,06/2024,304.19
HIGHWAYS,6,UPGRADATION 2/4 LANE NH CONNECTIVITY UNDER SAGARMALA SCHEME SH 2 HAVERI YEKAMBI SH 69 YEKAMBI KUMTA,NHAI,N24001682,KARNATAKA,294.62,03/2024,50.21
HIGHWAYS,7,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 0.000 (KM. 190.000 OF NH-24) TO KM 42.791,NHAI,N24000556,UTTAR PRADESH,899.00,04/2019,"1,143.50"
HIGHWAYS,8,FOUR LANNING OF RAMPUR- KATHGODAM SECTION OF NH-87 FROM KM 42.791 (DESIGN CHAINAGE 43.446) TO KM 88,NHAI,N24000559,UTTARAKHAND,720.00,10/2019,672.33
HIGHWAYS,9,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDERS OF JORAM KOLORIANG ROAD (NH 713) ON EPC BASIS FROM EXI,NHIDCL,N24000685,ARUNACHAL PRADESH,167.28,04/2022,145.20
HIGHWAYS,10,CONSTRUCTION OF TWO LANE WITH HARD SHOULDERS OF CHAKABAMA-ZUNHEBOTO ROAD FROM EXISTING KM 52.370 TO,NHIDCL,N24000756,NAGALAND,285.68,09/2022,193.90
HIGHWAYS,11,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 77.95 TO KM 117.56 (PACKAGE,MoRTH,N24001291,ARUNACHAL PRADESH,421.48,03/2027,365.83
HIGHWAYS,12,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 117.56 TO KM 163.59 (PACKAGE,MoRTH,N24001292,ARUNACHAL PRADESH,543.05,03/2027,588.85
HIGHWAYS,13,CONSTRUCTION OF 2 LANE ROAD OF POTIN TO PANGIN SECTION OF NH 13 FROM KM 206.66 TO KM 247.05 (PACKAGE,MoRTH,N24001293,ARUNACHAL PRADESH,486.70,03/2027,480.44
HIGHWAYS,14,DONIPAWA TO ASHAJIPORA BYPASS PKG-7,NHIDCL,N24001342,JAMMU AND KASHMIR,2 6 0 . 4 0,12/2022,191.88
HIGHWAYS,15,DULTE- KWALKULH - CHAMPAI PKG.1,NHIDCL,N24001355,MIZORAM,3 7 4 . 3 9,12/2022,286.49
HIGHWAYS,16,BALANCE WORK 2-LANING OF LALPUL MANMAO CHANGLANG ROAD (NH-215) ON EPC MODE IN THE STATE OF ARUNACH,MoRTH,N24001372,ARUNACHAL PRADESH,588.09,03/2024,497.36
HIGHWAYS,17,4-LANING OF ITANAGAR TO BANDARDEWA SECTION OF NH-415 FROM KM 51+700 TO KM 59+199 (PACKAGE-C) ON EPC,MoRTH,N24001374,ARUNACHAL PRADESH,437.60,03/2027,366.59
HIGHWAYS,,Total,,,,"30,934.93",,"37,969.92"
