Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
HEALTH AND FAMILY WELFARE,1,TALABIRA II AND III OCP,NLC,N06000189,ODISHA,"2,401.07",01/2027,"1,626.71"
WELFARE HOME AFFAIRS,2,C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY (SCTIMST,CPWD FOR HEALTH,N28000112,KERALA,150.29,03/2020,162.52
WELFARE HOME AFFAIRS,3,NSG AT KOLKATA,CPWD FOR MHA,N28000104,WEST BENGAL,162.88,04/2018,193.91
PETROLEUM,4,CONSTRUCTION OF 683 VARIOUS TYPE FAMILY QUARTERS AT GROUP CENTRE CRPF CHANDAULI,CPWD FOR MHA,N45000003,UTTAR PRADESH,199.31,01/2022,86.49
POWER,5,ADDITIONAL STORAGE TANKS AT PARADIP,IOCL,N16000361,ODISHA,462.30,09/2021,493.72
RAILWAYS,6,PARBATI HEP (4X200 MW) (NHPC) II,NHPC,180100210,HIMACHAL PRADESH,"3,919.59",09/2009,"12,832.59"
RAILWAYS,7,"UDHAMPUR-SRINAGAR-BARAMULLA (NL),NR",NR,220100133,JAMMU AND KASHMIR,"37,012.00",08/2024,"42,328.83"
RAILWAYS,8,NEW BONGAIGAON-RANGIA-KAMAKGHYA DOUBLING,NFR,N22000183,MULTI STATE,"2,047.51",08/2024,"3,709.47"
RAILWAYS,9,VARANASI-MODHOSINGH-ALLAHABAD DOUBLING,RVNL,N22000401,UTTAR PRADESH,"2,018.23",12/2024,"1,780.22"
RAILWAYS,10,2880.4,ECR,N22000417,UTTAR PRADESH,"2,880.40",08/2024,"3,074.78"
RAILWAYS,11,EXECUTION OF RAIL CONNECTIVITY PROJECT FOR COAL TRANSPORTATION IN ODISHA FOR MCRL,IRCON,N22000418,ODISHA,"5,200.00",03/2020,389.00
RAILWAYS,12,KARAILA ROAD - SHAKTINAGAR DOUBLING,ECR,N22000419,UTTAR PRADESH,762.97,08/2024,808.96
RAILWAYS,13,"MANSA-BHATINDA (PHASE-I), INCL. NEW MATERIAL MODIFICATION FOR RAMA MANDI (RAMAN) - SADA SINGHWALA VI",NR,N22000502,PUNJAB,404.00,08/2016,190.00
RAILWAYS,14,DARBHANGA - BYPASS LINE CONNECTING SHISHO HALT AND KAKARGHATI EXCL DARBHANGA YARD (7.64 KM),ECR,N22000523,BIHAR,983.62,06/2025,417.57
RAILWAYS,15,AZIMGANJ-MURSHIDABAD (JIYAGANJ) INCL. RLY. BRIDGE OVER RIVER BHAGIRATHI,ER,N22000609,WEST BENGAL,164.33,02/2024,160.82
ROAD TRANSPORT AND HIGHWAYS,16,MEHSANA PALANPUR DOUBLING PROJECT 65.10 KMS,WR,N22000505,GUJARAT,537.31,03/2024,944.55
HIGHWAYS,17,FOUR LANING OF VILUPPURAM TO PUDHUCHERRY (DESIGN CH. KM. 00/000 TO KM. 29/000) SECTION OF NH-45A ON,NHAI,N24001428,TAMIL NADU,998.70,11/2021,975.68
HIGHWAYS,18,FOUR LANING OF POONDIYANKUPPAM (KM.67/000) TO SATTANATHAPOURAM (KM.123/800) SECTION OF NH-45A ON HAM,NHAI,N24001430,TAMIL NADU,"2,120.40",01/2022,"1,588.17"
HIGHWAYS,19,CONSTRUCTION OF 2 LANE WITH HARD SHOULDER FROM DESIGN CHAINAGE KM 283.000 TO KM 325.440 (5- LEGGED J,NHIDCL,N24001475,NAGALAND,605.36,12/2024,273.21
HIGHWAYS,20,"CONSTRUCTION OF 4-LANE NH-344P-PACKAGE-4 (FROM KM 0+000 TO KM 29+600, 29.6KM), STARTING FROM BAWANA",NHAI,N24001532,HARYANA,694.00,11/2023,"1,466.82"
HIGHWAYS,21,CONSTRUCTION OF 4-LANE GREEN FIELD DELHI-AMRITSAR- KATRA EXPRESSWAY (NE-05) FROM JUSSUR KHERI ON KMP,NHAI,N24001533,HARYANA,"1,690.23",12/2023,"1,462.45"
HIGHWAYS,22,CONSTRUCTION OF FOUR-LANE GREENFIELD DELHI- AMRITSAR-KATRA EXPRESSWAY FROM JUNCTION WITH ROHTAK-PANIP,NHAI,N24001534,HARYANA,"1,334.04",01/2024,"1,048.12"
HIGHWAYS,23,FOUR LANING OF JIND GOHANA GREENFIELD ALIGNMENT PACKAGE 1 IN THE STATE OF HARYANA UNDER HYBRID ANNUI,NHAI,N24001536,HARYANA,817.00,07/2022,986.08
HIGHWAYS,24,2L PS OF SATNA - MAIHAR SECTION OF NH-135BG FROM KM 80.800 TO KM 120.125,NHAI,N24001616,MADHYA PRADESH,428.04,10/2023,351.97
HIGHWAYS,25,BAKHTIYARPUR RAJAULI PKG-III FROM KM 101.630 TO KM 152.520 NH20,NHAI,N24001708,BIHAR,"2,156.22",06/2024,"1,397.72"
HIGHWAYS,26,6L OF KANHAULI RAMNAGAR PATNA RING ROAD PKG I FROM KM 0.000 TO KM 39.160 OF SH78 NEW NH131G,NHAI,N24001711,BIHAR,939.43,03/2023,"1,030.75"
HIGHWAYS,27,"ADDITIONAL WORKS (2VUPS, MR-10 JUNCTION FLYOVER AND UNDERPASS) IN SIX LANE INDORE-DEWAS SECTION OF N",NHAI,N24001765,MADHYA PRADESH,207.77,07/2024,147.24
HIGHWAYS,28,BALANCE WORK OF 4L OF INDORE-GUJARAT/MP BORDER FROM KM 106.210 TO KM 115.250 (START AND END POINT OF,NHAI,N24001768,MADHYA PRADESH,323.51,04/2023,246.27
HIGHWAYS,29,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY FROM KM 217.500 TO KM 254.430 OF VADODARA MU,NHAI,N24001788,GUJARAT,"2,271.86",12/2023,"2,655.78"
HIGHWAYS,30,"4L BYPASSES FOR JAGATPUR, B4ABUGANJ, UNCHAHAR, ALAPUR BYPASS, AND SAI RIVER BRIDGE OF RAEBARELI- PRA",NHAI,N24001815,UTTAR PRADESH,"1,699.00",11/2024,"1,033.72"
HIGHWAYS,31,UPGRADATION AND REHABILITATION TO TWO LANE WITH PAVED SHOULDER OF GHAGARIYA- MUNABAO SECTION FROM KM,MoRTH,N24001869,RAJASTHAN,235.15,08/2025,152.69
