Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
ROAD TRANSPORT AND HIGHWAYS,1,ENNORE THIRUVALLUR BENGALURU PUDUCHERRY NAGAPATTINAM MADURAITUTICORIN GAS PIPELINE,IOCL,N16000253,TAMIL NADU,"4,497.00",12/1/2018,"5,519.37"
AND HIGHWAYS,2,FOUR LANING OF MADURAI- CHETTIKULAM SECTION OF NH-785 FROM MADURAI (KM 0/000) TO CHETTICULAM (7/300),NHAI,N24000827,TAMIL NADU,628.71,11/1/2020,757.81
AND HIGHWAYS,3,BALANCE WORK OF RANCHI-MAHULIA SECTION OF NH- 33 FROM KM 113.730 (VIKAS) TO KM 140.000 (RAMPUR) (PKG-,NHAI,N24001597,JHARKHAND,466.55,12/1/2020,0.00
AND HIGHWAYS,4,4 LANING OF GALGALIA - BAHADURGANJ SECTION FROM KM 0.000 TO KM 49.000 (PACKAGE-I) OF NH-327E.,NHAI,N24001706,BIHAR,"1,097.18",1/1/2024,518.04
AND HIGHWAYS,5,4 LANING OF BAHADURGANJ ARARIA SECTION FROM KM 49.000 TO KM 94.000 (PACKAGE-II) OF NH-327E,NHAI,N24001707,BIHAR,"1,143.46",1/1/2024,551.35
AND HIGHWAYS,6,4 LANING FROM KM. 34.600 TO KM. 79.970 and 2LPS FROM KM. 79.970 TO KM. 82.000 OF NARENPUR - PURNEA S,NHAI,N24001710,BIHAR,"2,334.68",3/1/2023,916.00
AND HIGHWAYS,7,FOUR LANING OF BAL. WORKS OF BARASAT- KRISHNAGAR FROM KM.48.553 TO KM.115.272,NHAI,N24001752,WEST BENGAL,"2,375.87",2/1/2023,"2,701.38"
AND HIGHWAYS,8,DHANGAON - BORGAON SECTION (KM 81.000 TO KM 139.000) [INDORE - EDLABAD PKG IV],NHAI,N24001769,MADHYA PRADESH,831.00,8/1/2023,"1,185.04"
AND HIGHWAYS,9,4L OF DUDHADHARI ELEVATED FLYOVER (MUZAFFARNAGAR ?HARIDWAR SECTION) FROM KM 356.450 TO KM 353.800 OF,NHAI,N24001995,UTTARAKHAND,154.52,11/1/2023,158.26
AND HIGHWAYS,10,6L ACCESS CONTROLLED HIGHWAY FROM JN WITH JAITPUR PUSHTA ROAD TO JN WITH SECTOR 62/65 DIVIDING ROAD,NHAI,N24002047,HARYANA,"1,328.07",8/1/2023,"1,087.16"
AND HIGHWAYS,11,REHABILITATION AND UPGRADATION OF NH-42 FROM KM 4-350 TO KM 75-600,MoRTH,N24000422,ANDHRA PRADESH,309.01,9/1/2015,274.36
AND HIGHWAYS,12,TWO/FOUR LANNING OF BRT TIGER RESERVE BOUNDARY TO BANGALORE SECTION OF NH- 209(EXISTING CHAINAGE FROM,NHAI,N24000622,KARNATAKA,950.69,8/1/2019,"1,844.43"
AND HIGHWAYS,,Total,,,,"16,116.74",,"15,513.20"
