Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
PETROLEUM,1,CHURI BENTI UG (0.81 MTY),CCL,N06000083,JHARKHAND,163.51,03/2011,133.35
POWER,2,CONSTRUCTION OF TWO PRODUCED WATER TREATMENT PLANTS (PWTP) AT BECHARAJI AND SOBHASAN INSTALLATION OF,ONGC,N16000482,GUJARAT,320.20,07/2024,176.01
RAILWAYS,3,OMKARESHWAR FLOATING SOLAR POWER PROJECT (90 MW),SJVN,N18000342,MADHYA PRADESH,646.17,04/2024,600.77
RAILWAYS,4,"JAYANAGAR-DARBHANGA-NARKATIA GANJ(GC),ECR",ECR,220100240,BIHAR,324.73,03/2012,"1,236.97"
RAILWAYS,5,"DAUSA-GANGAPUR CITY(NL),NWR",NWR,220100184,RAJASTHAN,410.08,02/2019,"1,060.42"
RAILWAYS,6,BHUJ-NALIYA(GC) WITH EXTENSION FROM NALIYA TO VAYOR (WR),WR,N22000123,GUJARAT,318.24,03/2012,"1,317.64"
RAILWAYS,7,PHULERA - DIGANA DOUBLING,NWR,N22000326,MULTI STATE,600.00,03/2020,765.54
RAILWAYS,8,SAKRI-NIRMALI AND JHANJHARPUR- LAUKAHABAZAR AND SAHARSA-FORBESGANJ (GC),ECR,N22000180,BIHAR,372.14,N.A.,"2,538.48"
RAILWAYS,9,AGARTALA-AKHAURA NL,NFR,N22000195,TRIPURA,569.63,03/2020,380.92
RAILWAYS,10,MAYLADUTHURAI-THIRUVARUR-KARAIKUDI-THIRU 'PONDI'-AGASTIYAMPALLI,SR,N22000079,TAMIL NADU,724.69,02/2019,"1,931.12"
RAILWAYS,11,KALOL-KADI-KATOSAN ROAD (37.23 KM),WR,N22000549,GUJARAT,279.23,06/2027,397.87
RAILWAYS,12,POWARKHEDA - JUJHARPUR - SINGLE LINE FLYOVER IN UP DIRECTION (15.89 KM),WCR,N22000552,MADHYA PRADESH,199.63,03/2024,150.00
RAILWAYS,13,Chinnasalem-Kallakurichi New Line (MM of cuddalore- Salem 191 KM),SR,N22000567,TAMIL NADU,417.50,03/2025,184.32
RAILWAYS,14,BARABANKI AKBARPUR DOUBLING,NR,N22000578,UTTAR PRADESH,"1,200.00",03/2025,"1,650.00"
RAILWAYS,15,JAUNPUR AKBARPUR (TANDA) DOUBLING,NR,N22000582,UTTAR PRADESH,515.50,03/2025,670.00
RAILWAYS,16,RAJPURA-BHATINDA (172.64 KM),MEGA,N22000597,PUNJAB,"1,775.73",03/2024,"1,750.00"
RAILWAYS,17,NATHDWARA-NEW NATHDWARA NEW LINE ( MM OF AJMER-CHITTAURGARH-UDAIPUR),WR,N22000623,GUJARAT,166.33,06/2025,55.81
RAILWAYS,18,KATNI-BINA 3RD LINE (263 KM),WCR,N22000415,MADHYA PRADESH,"2,478.23",03/2022,"1,279.35"
RAILWAYS,19,MANMAD-PARBHANI-NANDED-SECUNDERABAD- GADWAL-DHONE- GUNTAKAL - TRAIN COLLISION AVOIDANCE SYSTEM (958 K,SCR,N22000432,TELANGANA,119.73,03/2022,54.15
AND HIGHWAYS,20,4-LANING OF LOHA - WARANGA SECTION OF NH- 361 FROM KM. 187.800 TO KM. 244.369 (DESIGN LENGTH 56.569 K,NHAI,N24000854,JHARKHAND,"1,005.08",03/2021,699.05
AND HIGHWAYS,21,IMPROVEMENT/WIDENING TO 2-LANE WITH EARTHEN SHOULDERS FROM RANIKOR TO NONGJRI EXISTING CHAINAGE FROM,NHIDCL,N24000903,MEGHALAYA,306.28,03/2022,233.49
AND HIGHWAYS,22,FOUR LANING OF 5.122 KM OF NH9(NEW NH 65) FROM KM 269.900(DESIGN CH0.0) TO KM 275/622(DESIGN CH 5.12,MoRTH,N24000928,ANDHRA PRADESH,333.21,12/2015,342.71
AND HIGHWAYS,23,REHABILITATION AND UPGRADATION OF NH219(NEW NH42) FROM KM 244.930 TO 299.775 (MADANAPALLI PUNGANURU,MoRTH,N24000929,ANDHRA PRADESH,372.68,02/2017,274.76
AND HIGHWAYS,24,REHABILITATION AND UPGRADATION OF NH-340 FROM KM 0/0 TO KM 60/380 (DESIGN CH. 0/000 TO 60/025 EXCLUD,MoRTH,N24000932,ANDHRA PRADESH,319.28,08/2017,245.55
AND HIGHWAYS,25,REHABILITATION AND UPGRADATION OF NH565 FROM EXISTING KM 361.330(DORNALA T JUNCTION) TO KM 420.800(P,MoRTH,N24000963,ANDHRA PRADESH,418.03,08/2018,370.55
AND HIGHWAYS,26,WAKAN PALI KHOPOLI,MoRTH,N24001026,MAHARASHTRA,376.19,05/2019,118.74
AND HIGHWAYS,27,AHMADPUR TO PIMPLA,MoRTH,N24001029,MAHARASHTRA,422.38,08/2019,269.59
AND HIGHWAYS,28,PIMPLA TO MANJARSUMBHA,MoRTH,N24001030,MAHARASHTRA,595.77,08/2019,357.73
AND HIGHWAYS,29,MANSAR TO SALAIKHURD,MoRTH,N24001035,MAHARASHTRA,418.36,12/2019,263.13
AND HIGHWAYS,30,JAHIRABAD TO LATUR,MoRTH,N24001040,MAHARASHTRA,461.96,11/2019,329.59
AND HIGHWAYS,31,SHIROD SHAHPURER TO NANDED,MoRTH,N24001041,MAHARASHTRA,211.34,07/2019,136.33
AND HIGHWAYS,32,SALAIKHURD TO TIRORA,MoRTH,N24001042,MAHARASHTRA,415.25,12/2019,274.02
AND HIGHWAYS,33,NILAJPHATA TO BHANDARA,MoRTH,N24001043,MAHARASHTRA,420.63,05/2020,219.40
AND HIGHWAYS,34,MEHKAR TO AJISPUR,MoRTH,N24001048,MAHARASHTRA,232.77,07/2019,151.60
AND HIGHWAYS,35,CHIKALI TO DHAD,MoRTH,N24001061,MAHARASHTRA,189.46,12/2019,133.07
AND HIGHWAYS,36,DHAD BHOKARDAN TO BHOKARDHAN SILLOD,MoRTH,N24001062,MAHARASHTRA,336.21,12/2019,236.11
AND HIGHWAYS,37,PARBHANI TO GANGKHED,MoRTH,N24001065,MAHARASHTRA,238.19,12/2019,194.54
AND HIGHWAYS,38,KOTHARI TO DHANORA,MoRTH,N24001073,MAHARASHTRA,301.38,08/2020,240.32
AND HIGHWAYS,39,OSMANNAGAR TO KUNDRAL,MoRTH,N24001075,MAHARASHTRA,344.25,08/2020,194.72
AND HIGHWAYS,40,CHIMUR TO WARORA,MoRTH,N24001105,MAHARASHTRA,467.70,03/2019,235.04
AND HIGHWAYS,41,BARASGAON TO RAHATEE,MoRTH,N24001113,MAHARASHTRA,289.11,09/2018,232.56
AND HIGHWAYS,42,FARDAPUR TO JALGAON,MoRTH,N24001126,MAHARASHTRA,456.45,06/2019,427.43
AND HIGHWAYS,43,WARDHA TO ARVI,MoRTH,N24001150,MAHARASHTRA,313.58,04/2020,230.41
AND HIGHWAYS,44,2 LANING OF KOHIMA - JESSAMI SECTION (PACKAGE I),NHIDCL,N24001280,NAGALAND,320.97,06/2022,182.21
AND HIGHWAYS,45,2 LANING OF KOHIMA - JESSAMI SECTION (PACKAGE III),NHIDCL,N24001284,NAGALAND,361.53,06/2022,200.22
AND HIGHWAYS,46,DULTE- KWALKULH - CHAMPAI PKG.3,NHIDCL,N24001357,MIZORAM,674.71,06/2023,589.25
AND HIGHWAYS,47,JORAM ? KOLORIANG ROAD FROM EXISTING KM104.850 TO KM 122.60 (PKG-6),NHIDCL,N24001392,ARUNACHAL PRADESH,199.03,04/2022,102.85
AND HIGHWAYS,48,DELHI-AMRITSAR-KATRA EXPRESSWAY (PHASE-I PKG-VI) FROM JUNCTION WITH PATIALA-SAMANA- PATRAN ROAD (SH-1,NHAI,N24001414,PUNJAB,733.00,01/2024,868.44
AND HIGHWAYS,49,MOPA AIRPORT,MoRTH,N24001458,GOA,"1,183.16",04/2022,"1,106.30"
AND HIGHWAYS,50,REHABLITATION AND UPGRADATION OF AMBOLI JUNCTION (DESIGN CH. 71+530) TO AJARA (DESIGN CH.100+835) SE,MoRTH,N24001881,MAHARASHTRA,574.00,11/2024,574.00
AND HIGHWAYS,51,SHEWALI (SAKRI) - NANDURBAR,MoRTH,N24001893,MAHARASHTRA,232.59,04/2024,97.70
AND HIGHWAYS,52,CONSTRUCTION OF EIGHT LANE EXPRESSWAY STARTING AT CH. 47+000 NEAR KHANPUR GHATI AND ENDS AT HARYANA,NHAI,N24001784,HARYANA,"1,935.61",09/2021,856.41
AND HIGHWAYS,53,CONSTRUCTION OF BRIDGE INCLUDING APPROACHES ACROSS RIVER ZUARI ON NH-17 (NH- 66) ON PANJIM-MANGALORE,MoRTH,N24000444,GOA,936.40,N.A.,770.90
AND HIGHWAYS,54,WIDENING TO 4/6/8 LANES OF EXISTING NH-17 FROM KM 522/615 (NEAR GMC) TO KM 530/850 JOINING NEW ZUIAR,MoRTH,N24000516,GOA,819.95,N.A.,504.65
AND HIGHWAYS,55,REHABILITATION AND UPGRADATION OF EXISTING NH-565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T,MoRTH,N24000282,ANDHRA PRADESH,195.45,11/2014,294.47
