Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Original Cost in Rs. Crore,Date of Commissioning Original (MM/YYYY),Cumulative Expenditure in Rs. Crore
POWER,1,DEVANGONTHI MARKETING TERMINAL,MANGALORE REFIN,N16000401,KARNATAKA,200.00,6/1/2023,255.87
POWER,2,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000300,RAJASTHAN,"1,184.88",9/1/2022,846.92
ROAD TRANSPORT AND HIGHWAYS,3,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,PGCIL,N18000305,RAJASTHAN,713.82,12/1/2022,671.59
HIGHWAYS,4,CHALLAKERE TO HARIYUR SECTION FROM KM 358.500 TO KM 414.205 OF NH150 A,NHAI,N24001690,KARNATAKA,"1,167.52",1/1/2023,946.42
HIGHWAYS,5,4L OF HARDA - BETUL (PKG-I) FROM KM.0 TO KM.30 [HARDA - TEMAGAON],NHAI,N24001763,MADHYA PRADESH,774.16,9/1/2023,463.85
HIGHWAYS,6,4L OF HARDA - BETUL (PKG-III) FROM KM. 81.00 TO KM.121.248 [CHICHOLI - BETUL],NHAI,N24001764,MADHYA PRADESH,814.04,9/1/2023,468.94
HIGHWAYS,7,UPGRADATION OF NH 930 JHALMALA TO SHERPER FROM NH KM 30.600 TO KM 67.800 TO TWOFOUR LANE WITH PAVED,MoRTH,N24001918,CHHATTISGARH,222.86,8/1/2023,168.98
HIGHWAYS,8,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM BANI VILLAGE TO BARDAWADI V,NHAI,N24001212,MADHYA PRADESH,656.98,11/1/2022,"1,058.34"
HIGHWAYS,9,CONSTRUCTION OF EIGHT LANE ACCESS CONTROLLED EXPRESSWAY CARRIAGEWAY FROM RAJASTHAN/MP BORDER TO JODM,NHAI,N24001214,MADHYA PRADESH,217.96,12/1/2022,"2,298.00"
HIGHWAYS,10,REHABILITATION AND UPGRADATION OF NH 111 FROM KM 163.400 TO 215.800 SHIVNAGAR TO AMBIKAPUR SECTION,MoRTH,N24001218,CHHATTISGARH,335.32,6/1/2017,345.52
HIGHWAYS,11,REHABILITATION AND UPGRADATION OF NH 200 FROM KM 178.944 TO 241.553 BANARI VILLAGE TO MASANIA KALA V,MoRTH,N24001219,CHHATTISGARH,476.20,9/1/2016,502.91
HIGHWAYS,12,CONSTRUCTION OF TWO LANE WITH PAVED SHOULDER OF SELLING-DULTE SECTION OF NH-06 (PKG-IV),NHIDCL,N24001283,MIZORAM,281.78,7/1/2022,237.91
HIGHWAYS,13,MARIAM - PEREN PKG-2B,NHIDCL,N24001351,MANIPUR,232.26,12/1/2022,156.93
HIGHWAYS,,Total,,,,"7,277.78",,"8,422.18"
