Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
,1,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-4: 3.5 GW): PART A,PGCIL,N18000407,UTTAR PRADESH,12-2024,"5,846.00",N.A.,"5,846.00",12/2026,N.A.,12/2026
,2,TRANSMISSION SYSTEM UNDER ISTS FOR EVACUATION OF POWER FROM KUDANKULAM UNIT - 3 & 4 (2X1000 MW),PGCIL,N18000408,TAMIL NADU,1-2025,548.00,N.A.,548.00,7/2028,N.A.,7/2028
,3,SYSTEM STRENGTHENING AT KOPPAL-II AND GADAG-II FOR INTEGRATION OF RE GENERATION PROJECTS,PGCIL,N18000409,KARNATAKA,1-2025,"1,354.00",N.A.,"1,354.00",1/2027,N.A.,1/2027
,4,AUGMENTATION OF TRANSFORMATION CAPACITY AT BIDAR PS,PGCIL,N18000410,KARNATAKA,2-2025,288.00,N.A.,288.00,2/2027,N.A.,2/2027
,5,AUGMENTATION OF TRANSFORMATION CAPACITY AT KPS2 & KPS2,PGCIL,N18000411,GUJARAT,3-2025,466.00,N.A.,466.00,3/2027,N.A.,3/2027
POWER,6,AUGMENTATION OF BANASKANTHA (RAGHANESDA) PS (GIS),PGCIL,N18000412,GUJARAT,3-2025,172.00,N.A.,172.00,3/2027,N.A.,3/2027
POWER,7,TRANSMISSION SYSTEM FOR INTEGRATION OF KURNOOL-IV REZ ? PHASE-I (FOR 4.5 GW),PGCIL,N18000413,ANDHRA PRADESH,3-2025,"5,000.00",N.A.,"5,000.00",3/2027,N.A.,3/2027
POWER,8,RAJASTHAN REZ PH-V (PART-1: 4 GW) [SIROHI/NAGAUR] COMPLEX,PGCIL,N18000414,RAJASTHAN,3-2025,"5,028.00",N.A.,"5,028.00",3/2027,N.A.,3/2027
POWER,9,"AUGMENTATION AT FATEHGARH-II PS, FATEHGARH-IV PS (SECTION-II) AND BARMER-I",PGCIL,N18000415,RAJASTHAN,3-2025,404.00,N.A.,404.00,12/2026,N.A.,12/2026
POWER,10,TRANSMISSION SYSTEM STRENGTHENING AT KURNOOL- III PS FOR INTEGRATION OF ADDITIONAL RE GENERATION PRO,PGCIL,N18000416,ANDHRA PRADESH,3-2025,"2,886.00",N.A.,"2,886.00",3/2027,N.A.,3/2027
POWER,11,TRANSMISSION SCHEME FOR EVACUATION OF POWER FROM RATLE HEP (850 MW) & KIRU (624 MW): PART B,PGCIL,N18000417,JAMMU AND KASHMIR,3-2025,219.00,N.A.,219.00,3/2027,N.A.,3/2027
POWER,12,BILASIPURA- GUWAHATI ROAD PKG-2,NHIDCL,N24002229,ASSAM,11-2023,"1,338.61",N.A.,"1,338.61",6/2027,N.A.,6/2027
POWER,13,BADARPUR ? CHURAIBARI PKG-6,NHIDCL,N24002230,ASSAM,3-2024,870.00,N.A.,870.00,3/2027,N.A.,3/2027
POWER,14,KARIMGANI - SUTARKANDI SECTION ON SILCHAR-CHURAIBARI PKG-7,NHIDCL,N24002231,ASSAM,2-2024,791.79,N.A.,791.79,2/2027,N.A.,2/2027
POWER,15,IMPHAL-KOHIMA ROAD PKG-5A,NHIDCL,N24002232,MANIPUR,9-2020,228.97,N.A.,228.97,8/2026,N.A.,8/2026
ROAD TRANSPORT AND HIGHWAYS,16,DAINADUBI-DARUGIRI PKG-1B,NHIDCL,N24002233,MEGHALAYA,3-2023,705.83,N.A.,705.83,3/2027,N.A.,3/2027
ROAD TRANSPORT AND HIGHWAYS,17,WIDENING TO 4L FROM KM.108.50 TO 139.00 OF NH-135A PKG- II (JAUNPUR TO AKBARPUR SECTION) ON HAM IN TH,MoRTH,N24002234,UTTAR PRADESH,3-2023,"1,511.57",N.A.,"1,511.57",3/2027,N.A.,3/2027
ROAD TRANSPORT AND HIGHWAYS,18,CONSTRUCTION OF RAEBARELI RING ROAD (PHASE-2) WITH FOUR LANE CONFIGURATION FOR RAEBARELI CITY IN THE,MoRTH,N24002235,UTTAR PRADESH,3-2022,"1,273.72",N.A.,"1,273.72",5/2027,N.A.,5/2027
ROAD TRANSPORT AND HIGHWAYS,19,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM - VIJAYAWADA,NHAI,N24002236,TELANGANA,3-2023,832.62,N.A.,832.62,3/2025,N.A.,3/2027
STEEL,20,REPLACEMENT OF HOT LEVELLER-1 OF PLATE MILL AT BHILAI STEEL PLANT,SAIL,N12000137,CHHATTISGARH,7-2024,198.62,N.A.,198.62,7/2026,N.A.,7/2026
STEEL,21,INSTALLATION OF NEW BAR MILL AT DURGAPUR STEEL PLANT,SAIL,N12000138,WEST BENGAL,9-2024,"2,115.44",N.A.,"2,115.44",6/2027,N.A.,6/2027
STEEL,22,UP-GRADATION OF BLAST FURNACE NO. 3 AT DURGAPUR STEEL PLANT,SAIL,N12000139,WEST BENGAL,9-2024,758.09,N.A.,758.09,6/2026,N.A.,6/2026
STEEL,23,REVAMPING OF AIR POLLUTION CONTROL SYSTEMS OF SP-1 AT DURGAPUR STEEL PLANT,SAIL,N12000140,WEST BENGAL,11-2024,196.40,N.A.,196.40,5/2026,N.A.,5/2026
STEEL,24,THIRD LADLE FURNACE IN SECONDARY REFINERY UNIT AT IISCO STEEL PLANT,SAIL,N12000141,WEST BENGAL,11-2024,227.96,N.A.,227.96,7/2026,N.A.,7/2026
STEEL,25,REPLACEMENT OF EXISTING GRINDERS IN CRM-I & II AT BOKARO STEEL PLANT,SAIL,N12000142,JHARKHAND,1-2025,211.94,N.A.,211.94,1/2027,N.A.,1/2027
STEEL,26,SECONDARY EMISSION CONTROL IN CONVERTERS OF SMS-II AT BOKARO STEEL PLANT,SAIL,N12000143,JHARKHAND,1-2025,207.13,N.A.,207.13,10/2026,N.A.,10/2026
Grand Total,,,,,,,"33,679.69",-,"33,679.69",,,
