Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
CIVIL AVIATION,1,"DARBHANGA:DEVELOPMENT OF NEW CIVIL ENCLAVE AT DARBHANGA, BIHAR. SH- CONSTRUCTION OF NEW TERMINAL BUI",AAI,N04000112,BIHAR,7/2024,911.66,N.A.,911.66,7/2026,N.A.,7/2026
CIVIL AVIATION,2,AGRA: DEVELOPMENT OF NEW CIVIL ENCLAVE AT AGRA AIRPORT.,AAI,N04000113,UTTAR PRADESH,6/2024,579.00,N.A.,579.00,7/2026,N.A.,7/2026
CIVIL AVIATION,3,"VARANASI: DEVELOPMENT OF LAL BAHADUR SHASTRI INTERNATIONAL AIRPORT, VARANASI.",AAI,N04000114,UTTAR PRADESH,7/2024,"2,869.65",N.A.,"2,869.65",7/2027,N.A.,7/2027
COAL,4,ITAPARA OC,ECL,N06000272,WEST BENGAL,12/2023,929.10,N.A.,929.10,3/2030,N.A.,3/2030
COAL,5,AMALGAMATED NTST KUJAMA OCP 8.5 MTY,BCCL,N06000273,JHARKHAND,1/2023,"4,011.85",N.A.,"4,011.85",3/2030,N.A.,3/2030
COAL,6,KATKONA RO UG PROJECT (1.74 MTY),SECL,N06000274,CHHATTISGARH,1/2023,329.22,N.A.,329.22,3/2029,N.A.,3/2029
COAL,7,HURA C OC,ECL,N06000275,JHARKHAND,8/2022,859.41,N.A.,859.41,3/2029,N.A.,3/2029
COAL,8,UCE OF TILABONI UG,ECL,N06000276,WEST BENGAL,1/2023,749.07,N.A.,749.07,3/2029,N.A.,3/2029
COAL,9,UCE OF PARASEA BELBAID REORGANISATION UG,ECL,N06000277,WEST BENGAL,1/2023,389.10,N.A.,389.10,3/2029,N.A.,3/2029
COAL,10,BORHOLLA GGS LIFE EXTENSION PROJECT,ONGC,N16000532,ASSAM,9/2023,198.70,N.A.,198.70,5/2026,N.A.,5/2026
PETROLEUM,11,PRP-VIII GROUP B (NH AND BS ASSET),ONGC,N16000533,MAHARASHTRA,6/2024,"2,379.84",N.A.,"2,379.84",5/2026,N.A.,5/2026
PETROLEUM,12,HP TDAE UNIT IN MUMBAI REFINERY,HPCL,N16000534,MAHARASHTRA,6/2024,240.00,N.A.,240.00,4/2026,N.A.,4/2026
ROAD TRANSPORT,13,CONSTRUCTION OF BALRAMPUR BYPASS WITH 2L FLEXIBLE PAVEMENT CONFIGURATION FROM KM.223.000 OF NH-330 T,MoRTH,N24002150,UTTAR PRADESH,12/2022,515.69,N.A.,515.69,2/2026,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,14,WIDENING TO 4L/4L+PS AND STRENGTHENING IN SELECTED STRETCHES FROM KM 0/8 TO 50/570 OF NH 532 INCLUD,MoRTH,N24002151,TAMIL NADU,3/2022,257.14,295.00,295.00,1/2024,N.A.,7/2025
AND HIGHWAYS,15,WIDENING FROM 2L+PS TO 4L/4L+PS AND IMPROVEMENTS THE SELECTED STRETHCES FROM KM 26/5 - 81/2 INCLU,MoRTH,N24002152,TAMIL NADU,3/2023,274.84,N.A.,274.84,11/2023,N.A.,11/2025
AND HIGHWAYS,16,"STRENGTHENING OF 2L+PS FROM KM 17/8 ? 18/2, CONSTRUCTION OF 2L+PS FROM KM 18/2 TO KM 20/0 AND CONSTR",MoRTH,N24002153,TAMIL NADU,3/2023,169.68,N.A.,169.68,2/2024,N.A.,8/2025
Grand Total,,,,,,,"15,663.95",-,"15,701.81",,,
