Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
COAL,1,CHUPERBHITA- SIMLONG OCP,ECL,N06000280,JHARKHAND,1 2-2023,979.08,N.A.,979.08,3/2033,Mar-37,3/2037
COAL,2,PARASCOLE JAMBAD OCP,ECL,N06000281,WEST BENGAL,11-2024,"1,193.55",N.A.,"1,193.55",3/2037,N.A.,3/2037
COAL,3,BALLARPUR NORTHWEST OC MINE,WCL,N06000282,MAHARASHTRA,1 2 - 2 0 22,360.18,N.A.,360.18,3/2029,N.A.,3/2029
COAL,4,NORTHERN EXTENSION OF MUNGOLI NIRGUDA DEEP OC,WCL,N06000283,MAHARASHTRA,6 - 2 0 2 4,"1,184.44",N.A.,"1,184.44",3/2029,N.A.,3/2029
COAL,5,AMALGAMATED GONDEGAON - GHATROHAN EXPANSION OCM,WCL,N06000284,MAHARASHTRA,9 - 2 0 2 4,871.59,N.A.,871.59,3/2029,N.A.,3/2029
PETROLEUM,6,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,N16000538,ANDHRA PRADESH,8-2024,240.00,N.A.,240.00,3/2026,N.A.,3/2026
PETROLEUM,7,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,N16000539,ANDHRA PRADESH,9 - 2 0 24,"2,212.00",N.A.,"2,212.00",9/2027,N.A.,9/2027
PETROLEUM,8,MARREM KHULLEN TO JESSAMI SECTION IMPHAL- UKHRUL - JESSAMI PKG-6 (DESIGN CHAINAGE KM 95.700 TO KM 14,NHIDCL,N24002202,MANIPUR,3-2023,554.66,N.A.,554.66,12/2026,N.A.,12/2026
PETROLEUM,9,IMPHAL-KOHIMA ROAD PKG-4B,NHIDCL,N24002203,MANIPUR,9 -2020,268.98,N.A.,268.98,6/2026,N.A.,6/2026
ROAD TRANSPORT AND HIGHWAYS,10,ZORINPUI- HMAWNGBU-LONGMASU (NH-502A),NHIDCL,N24002204,MIZORAM,2 - 2 0 2 3,781.85,N.A.,781.85,12/2026,N.A.,12/2026
ROAD TRANSPORT AND HIGHWAYS,11,CHAMPAK NAGAR TO KHAYERPUR SECTION (DESIGN KM 242+500 TO KM 261+610),NHIDCL,N24002205,TRIPURA,12-2023,920.66,N.A.,920.66,9/2026,N.A.,9/2026
AND HIGHWAYS,12,CONSTRUCTION FOR MITIGATION MEASURES PKG-2,NHIDCL,N24002206,UTTARAKHAND,1 2 - 2 0 2 3,259.64,N.A.,259.64,6/2026,N.A.,6/2026
AND HIGHWAYS,13,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,N24002207,ANDAMAN AND NICOBAR ISLANDS,1 2 - 2 0 2 4,371.80,N.A.,371.80,2/2026,N.A.,2/2026
AND HIGHWAYS,14,PACKAGE-3A,NHIDCL,N24002208,ANDAMAN AND NICOBAR ISLANDS,2-2018,207.54,N.A.,207.54,9/2025,N.A.,9/2025
AND HIGHWAYS,15,PACKAGE-3B,NHIDCL,N24002209,ANDAMAN AND NICOBAR ISLANDS,2-2018,183.47,N.A.,183.47,11/2025,N.A.,11/2025
Grand Total,,,,,,,"10,589.44",-,"10,589.44",,,
