Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
COAL,1,RPR OF HINGULA EXPANSION OCP,MCL,N06000285,ODISHA,1 1 - 2022,"1,561.85",N.A.,"1,561.85",3/2029,N.A.,3/2029
COAL,2,BHUBANESWARI EXPANSION OCP,MCL,N06000286,ODISHA,3 - 2 024,"5,366.28",N.A.,"5,366.28",3/2031,N.A.,3/2031
COAL,3,ADDITIONAL TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM BHADLA-III PS AS PART OF RAJASTHAN REZ P,PGCIL,N18000396,RAJASTHAN,8-2024,369.00,N.A.,369.00,2/2026,N.A.,2/2026
COAL,4,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,PGCIL,N18000397,RAJASTHAN,8-2024,"1,382.00",N.A.,"1,382.00",8/2026,N.A.,8/2026
COAL,5,AUGMENTATION OF TRANSFORMATION CAPACITY AT JAM KHAMBHALIYA PS [GIS] [SPV NAME POWERGRID JAM KHAMBHAL,PGCIL,N18000398,GUJARAT,10-2024,329.00,N.A.,329.00,7/2026,N.A.,7/2026
COAL,6,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-2 5.5GW] [JAISALMER/BARME,PGCIL,N18000399,MADHYA PRADESH,10-2024,"3,674.00",N.A.,"3,674.00",10/2026,N.A.,10/2026
POWER,7,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,PGCIL,N18000400,GUJARAT,10-2024,"4,766.00",N.A.,"4,766.00",10/2026,N.A.,10/2026
POWER,8,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH -IV [PART-2 5.5 GW] [JAISALMER/BAR,PGCIL,N18000401,RAJASTHAN,11-2024,"2,735.00",N.A.,"2,735.00",11/2026,N.A.,11/2026
POWER,9,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,PGCIL,N18000402,GUJARAT,11-2024,501.00,N.A.,501.00,11/2026,N.A.,11/2026
POWER,10,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3 (6GW)] [BIKANER COMPLEX,PGCIL,N18000403,RAJASTHAN,11-2024,"5,969.00",N.A.,"5,969.00",11/2026,N.A.,11/2026
POWER,11,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV [PART-3 (6 GW)] [BIKANER COMPLE,PGCIL,N18000404,RAJASTHAN,11-2024,"5,357.00",N.A.,"5,357.00",11/2026,N.A.,11/2026
POWER,12,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM POTENTIAL RENEWABLE ENERGY ZONE IN KHAVDA AREA OF G,PGCIL,N18000405,GUJARAT,11-2024,"24,819.00",N.A.,"24,819.00",5/2029,N.A.,5/2029
ROAD TRANSPORT AND HIGHWAYS,13,WIDENING AND STRENGTHENING OF RAFIABAD-KUPWARA- CHOWKIBAL-TANGDHAR-CHAMKOT (NH-701) ROAD FROM DESIGN,BRO,N24002210,JAMMU AND KASHMIR,3-2024,"1,404.94",N.A.,"1,404.94",5/2027,N.A.,5/2027
ROAD TRANSPORT AND,14,REHABILITATION AND UPGRADATION TO FOUR LANE ROAD FROM KM 70.500 TO KM 78.600 OF NH-92 UNDER EPC MODE,MoRTH,N24002211,UTTAR PRADESH,1-2022,296.02,N.A.,296.02,1/2027,N.A.,1/2027
HIGHWAYS,15,WIDENING AND STRENGTHENING FROM DESIGN KM. 67.280 TO KM. 88.622 OF NH-727A (SALEMPUR-MAIRWA ROAD) TO,MoRTH,N24002212,UTTAR PRADESH,3-2023,371.89,N.A.,371.89,7/2026,N.A.,7/2026
HIGHWAYS,16,REHABILITATION and UP-GRADATION TO 2L+PS FROM KM. 0.0 TO KM. 7.80 AND KM. 35.400 TO KM. 52.345 (DESI,MoRTH,N24002213,UTTAR PRADESH,3-2023,701.02,N.A.,701.02,7/2026,N.A.,7/2026
STEEL,17,"SCREENING PLANT-II, DONIMALAI",NMDC,N12000136,KARNATAKA,9 -2023,"1,043.63",N.A.,"1,043.63",8/2026,N.A.,8/2026
Grand Total,,,,,,,"60,646.63",-,"60,646.63",,,
