Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
COAL,1,AMALGAMATED GAURI PAUNI EXPANSION OC,WCL,N06000271,MAHARASHTRA,3/2024,"1,428.25",N.A.,"1,428.25",3/2030,N.A.,3/2030
PETROLEUM,2,SETTING UP POLYPROPYLENE UNIT AT KOCHI REFINERY,BPCL,N16000530,KERALA,12/2023,"4,460.00",N.A.,"4,460.00",10/2027,N.A.,10/2027
PETROLEUM,3,REHABILITATION AND UP-GRADATION FROM KM. 0.000 TO KM. 40.390 OF NH-730S (MAHARAJGANJ ? NICHLOUL ? TH,MoRTH,N24002134,UTTAR PRADESH,3/2023,809.25,N.A.,809.25,12/2025,N.A.,12/2025
PETROLEUM,4,WIDENING AND STRENGTHENLNG TO 2L+PS FROM KM 0.000 TO 40.000 (DHAUGAON- PODAMARI SECTION) OF NH 326 I,MoRTH,N24002135,ODISHA,3/2022,186.52,186.52,186.52,2/2026,Feb-26,2/2026
PETROLEUM,5,WIDENING AND STRENGTHENING TO 4L+PS/2L+PS FROM KM 0.000 TO 35.800 (KUAKHIA - MANGALPUR SECTION) OF N,MoRTH,N24002136,ODISHA,3/2022,636.10,N.A.,636.10,2/2026,Feb-26,2/2026
PETROLEUM,6,STRENGTHENING OF 6-LANE PIMPALGAON-NASHIK- GONDE (KM. 380 - KM. 440) SECTION OF NH-3 IN MAHARASHTRA U,NHAI,N24002137,MAHARASHTRA,2/2024,175.00,N.A.,175.00,3/2025,N.A.,3/2025
PETROLEUM,7,CONSTRUCTION OF FOUR LANE HIGHWAY WITH PAVED SHOULDER FROM KM.74.700 TO KM.112.950 OF NH-731A (I/C Y,MoRTH,N24002138,UTTAR PRADESH,3/2022,"1,141.67",N.A.,"1,141.67",6/2026,N.A.,6/2026
PETROLEUM,8,4-LANE WITH PAVED SHOULDERS FROM KM 32/0 TO KM 79/650 (DESIGN CHAINAGE KM 32+000 TO KM 78+760) PUTTA,MoRTH,N24002139,ANDHRA PRADESH,3/2023,"1,318.57",N.A.,"1,318.57",12/2025,N.A.,12/2025
PETROLEUM,9,SOMAYAJULAPALLI ? DHONE SECTION OF NH ? 340B FROM KM.0/0 TO 56/200 [DESIGN CH. KM 0/00 TO KM 53/33],MoRTH,N24002140,ANDHRA PRADESH,4/2023,629.73,N.A.,629.73,12/2025,N.A.,12/2025
ROAD TRANSPORT AND HIGHWAYS,10,2 LANE WITH PAVED SHOULDER CONFIGURATION FROM SEETHARAMAPURAM TO DUTTALURU SECTION OF NH-167 BG FROM,MoRTH,N24002141,ANDHRA PRADESH,6/2023,364.07,N.A.,364.07,7/2025,N.A.,7/2025
ROAD TRANSPORT AND HIGHWAYS,11,2-LANE WITH PAVED SHOULDER CONFIGURATION OF LAMBASINGI TO PADERU SECTION (KM 205+000 TO KM 253+974),MoRTH,N24002142,ANDHRA PRADESH,8/2023,361.24,N.A.,361.24,11/2025,N.A.,11/2025
ROAD TRANSPORT AND HIGHWAYS,12,BYPASS ROAD TO ADONI TOWN CONNECTING NH- 167 (HAGARI - JADCHARLA ROAD) FROM KM.62/700 TO 71/400 IN KU,MoRTH,N24002143,ANDHRA PRADESH,8/2023,361.24,N.A.,361.24,2/2026,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,13,VODAREVU-CHILAKALURIPET SECTION (DESIGN CHAINAGE 0+00 TO 47+000) OF NH-167A (PACKAGE-I),MoRTH,N24002144,ANDHRA PRADESH,8/2023,"1,064.24",N.A.,"1,064.24",2/2026,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,14,TADIPATRI BYPASS (KM 0+000 TO KM 6+285) OF 4- LANE ON NH-67 IN ANANTAPURAMU,MoRTH,N24002145,ANDHRA PRADESH,11/2023,159.66,N.A.,159.66,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,15,KURNOOL/KADAPA BORDER-JAMMALAMADUGU SECTION OF NH-167K I.E. DESIGN CH. KM 248+010 TO KM 269+900,MoRTH,N24002146,ANDHRA PRADESH,11/2023,292.63,N.A.,292.63,11/2025,N.A.,11/2025
ROAD TRANSPORT AND HIGHWAYS,16,DORNALA TO KUNTA JUNCTION FROM DESIGN CHAINAGE KM 244+000 TO 267+990 SECTION OF NH- 765 (PACKAGE-2),MoRTH,N24002147,ANDHRA PRADESH,12/2022,244.83,N.A.,244.83,1/2024,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,17,PADERU BYPASS (KM 0+000 TO KM 13+000) OF 2- LANE WITH PAVED SHOULDER ON NH-516E,MoRTH,N24002148,ANDHRA PRADESH,3/2023,244.43,N.A.,244.43,3/2024,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,18,DAVUALAPALLY TO MALLAPALEM SECTION {DESIGN CH. KM 133+922 TO KM 154+216 (EXISTING CH. KM 133+922 TO,MoRTH,N24002149,ANDHRA PRADESH,1/2024,393.61,N.A.,393.61,2/2024,N.A.,2/2026
STEEL,19,REPLACEMENT OF REMAINING 04 NOS. OF BATTERY CYCLONES WITH 04 NOS. OF ESPS IN SINTER PLANT- 1 AT BSL,BOKARO STEEL PL,N12000135,JHARKHAND,3/2024,260.37,N.A.,260.37,6/2026,N.A.,6/2026
Grand Total,,,,,,,"14,531.41",-,"14,531.41",,,
