Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
,1,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TIRUVALLUR (DESIGN CHAINAGE KM 17+56),NHAI,N24002216,TAMIL NADU,12-2024,"1,376.10",N.A.,"1,376.10",12/2026,N.A.,12/2026
,2,ACCESS CONTROLLED HIGHWAY OF 4 LANE WITH PAVED SHOULDERS FROM TN/AP BORDER (DESIGN CHAINAGE KM 61+51,NHAI,N24002217,ANDHRA PRADESH,12-2024,"1,346.82",N.A.,"1,346.82",12/2026,N.A.,12/2026
,3,REHABILITATION AND UP GRADATION FROM 4 TO 8 LANING OF CHANDIKHOLE ? PARADIP SECTION OF NH-53 (OLD NH,NHAI,N24002219,ODISHA,3-2024,882.45,N.A.,882.45,10/2026,N.A.,10/2026
,4,PERMANENT RECTIFICATION OF 4 NOS. OF BLACKSPOTS ON NH 27 OF KOTWA MEHSI MUZAFFARPUR SECTION FROM,NHAI,N24002220,BIHAR,12-2022,410.75,N.A.,410.75,11/2026,N.A.,11/2026
,5,4L OF GREENFIELD ALIGNMENT FROM KM. 47.000 TO KM. 89.210 OF BALBHADARPUR TO BELA NAWDA SECTION OF NH,NHAI,N24002221,BIHAR,2-2022,"2,185.75",N.A.,"2,185.75",3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,6,HUNLI TO HAYULIANG PKG-1,NHIDCL,N24002222,ARUNACHAL PRADESH,2 -2024,"1,262.43",N.A.,"1,262.43",2/2028,N.A.,2/2028
ROAD TRANSPORT AND HIGHWAYS,7,HUNLI TO ITHUN BRIDGE SECTION,NHIDCL,N24002223,ARUNACHAL PRADESH,2 - 2 0 24,275.50,N.A.,275.50,1/2027,N.A.,1/2027
ROAD TRANSPORT AND HIGHWAYS,8,PANGO TO JORGING ROAD PKG-1,NHIDCL,N24002224,ARUNACHAL PRADESH,1 - 2 0 2 4,898.19,N.A.,898.19,7/2027,N.A.,7/2027
ROAD TRANSPORT AND HIGHWAYS,9,BILASIPURA- GUWAHATI ROAD PKG-1,NHIDCL,N24002225,ASSAM,2 - 2 0 2 4,"1,081.15",N.A.,"1,081.15",8/2027,N.A.,8/2027
ROAD TRANSPORT AND HIGHWAYS,10,SILCHAR-JIRIBAM PKG-1,NHIDCL,N24002226,ASSAM,1-2024,957.95,N.A.,957.95,1/2028,N.A.,1/2028
ROAD TRANSPORT AND HIGHWAYS,11,JESSAMI TO LAYNEN BRIDGE UKHRUL - JESSAMI PKG-7,NHIDCL,N24002227,MANIPUR,3 - 2 0 2 3,164.89,N.A.,164.89,6/2026,N.A.,6/2026
ROAD TRANSPORT AND HIGHWAYS,12,KHOWAI ?TELIAMURA-AMARPUR-HARINA-SABROOM SECTION PKG-4,NHIDCL,N24002228,TRIPURA,1-2024,726.90,N.A.,726.90,12/2026,N.A.,12/2026
Grand Total,,,,,,,"11,568.88",-,"11,568.88",,,
