Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
COAL,1,50 MW WIND POWER PROJECT PART OF 150 MW SECI HYBRID,NLC,N06000292,GUJARAT,7-2022,383.84,N.A.,383.84,6/2025,Jan-2026,1/2026
POWER,2,NOKH SOLAR PV PROJECT 735 MW,NTPC,N18000418,RAJASTHAN,3-2022,"4,189.17","4,378.17","4,378.17",4/2024,Jul-2025,7/2025
POWER,3,TRANSMISSION SCHEME FOR INTEGRATION OF DAVANAGERE / CHITRADURGA AND BELLARY REZ IN KARNATAKA,PGCIL,N18000419,KARNATAKA,3-2025,"3,453.00",N.A.,"3,453.00",3/2027,N.A.,3/2027
POWER,4,IMPLEMENTATION OF LILO OF BOTH CIRCUITS OF 400KV VIDHYACHAL PS TO SASAN D/C LINE AT HINDALCO SWITCHY,PGCIL,N18000420,HARYANA,2-2025,370.00,N.A.,370.00,12/2026,N.A.,12/2026
POWER,5,EASTERN REGION EXPANSION SCHEME: 43 [ERES: 43],PGCIL,N18000421,BIHAR,5-2025,343.00,N.A.,343.00,5/2026,N.A.,5/2026
POWER,6,EASTERN REGION EXPANSION SCHEME: 44 [ERES: 44],PGCIL,N18000422,BIHAR,5-2025,409.00,N.A.,409.00,5/2026,N.A.,5/2026
POWER,7,TRANSMISSION SYSTEM FOR STRENGTHENING TO FACILITATE EVACUATION OF POWER FROM BHADLA/BIKANER COMPLEX,PGCIL,N18000423,UTTAR PRADESH,12-2024,213.00,N.A.,213.00,6/2026,N.A.,6/2026
POWER,8,CONSTRUCTION OF 4 LANE GAURIPUR BYPASS ON NH-17 IN THE STATE OF ASSAM,MoRTH,N24002237,ASSAM,3-2024,421.15,N.A.,421.15,10/2026,N.A.,10/2026
POWER,9,CONSTRUCTION OF 2 LANE BARPETA BYPASS FROM KM 77+900(BARADI) TO KM 86+150( DEURIKUCHI) (LENGTH=8.25K,MoRTH,N24002238,ASSAM,3-2023,173.65,N.A.,173.65,8/2026,N.A.,8/2026
ROAD TRANSPORT AND HIGHWAYS,10,IMPROVEMENT AND WIDENING TWO LANNIG WITH PAVED SHOULDER OF NATIONAL HIGHWAY 127B FROM KM 31.500 (GOE,MoRTH,N24002239,MEGHALAYA,12-2023,504.00,N.A.,504.00,5/2027,N.A.,5/2027
ROAD TRANSPORT AND HIGHWAYS,11,"IMPROVEMENT AND UP-GRADATION OF NH-227B (84 KOSI PARIKRAMA MARG) PACKAGE ?I, FROM KM 228.920 (JAGARN",MoRTH,N24002240,UTTAR PRADESH,3-2022,912.50,N.A.,912.50,11/2026,N.A.,11/2026
ROAD TRANSPORT AND HIGHWAYS,12,"IMPROVEMENT AND UP-GRADATION OF NH-227B (84 KOSI PARIKRAMA MARG) PACKAGE ?III, FROM KM.47.800 (GOSAI",MoRTH,N24002241,UTTAR PRADESH,3-2022,587.97,N.A.,587.97,11/2026,N.A.,11/2026
ROAD TRANSPORT AND HIGHWAYS,13,CHOITHAR TO MARREM KHULLEN SECTION IMPHAL- UKHRUL - JESSAMI PKG-5,NHIDCL,N24002242,MANIPUR,3-2023,564.05,N.A.,564.05,3/2027,N.A.,3/2027
ROAD TRANSPORT AND HIGHWAYS,14,SILCHAR- CHURAIBARI PKG-5,NHIDCL,N24002243,ASSAM,2-2024,"1,258.13",N.A.,"1,258.13",10/2027,N.A.,10/2027
ROAD TRANSPORT AND HIGHWAYS,15,IMPHAL - KHONGSANG - JIRIBAM PKG-2,NHIDCL,N24002244,MANIPUR,3-2021,195.14,N.A.,195.14,3/2026,N.A.,3/2026
Grand Total,,,,,,,"13,977.60","4,378.17","14,166.60",,,
