Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
COAL,1,50 MW SOLAR POWER PROJECT -NEYVELI MINED OUT AREA,NLC,N06000279,TAMIL NADU,5/2023,218.03,N.A.,218.03,6/2025,N.A.,5/2025
RAILWAYS,2,KALIPAHARI - BAKHTARNAGAR 5TH LINE (17.61 KM),ER,N22000630,WEST BENGAL,4/2024,350.46,N.A.,350.46,6/2027,N.A.,6/2027
RAILWAYS,3,SITARAMPUR BYE - PASS LINE (6.59 KM),ER,N22000631,WEST BENGAL,2/2023,461.64,N.A.,461.64,3/2027,N.A.,3/2027
RAILWAYS,4,CONSTRUCTION OF ROB AND ITS APPROACHES IN LIEU OF LEVEL CROSSING NO 10 B T AT KM 307 050 OF NH 60 B,MoRTH,N24002191,WEST BENGAL,3/2016,155.87,N.A.,155.87,8/2025,N.A.,8/2025
RAILWAYS,5,REHABILITATION AND UP-GRADATION TO 4L CONFIGURATION AND STRENGTHENING OF THANPURI TO PAROR SECTION F,NHAI,N24002192,HIMACHAL PRADESH,6/2022,815.69,815.69,815.69,12/2025,N.A.,12/2025
RAILWAYS,6,CONSTRUCTION OF 4 LANE ROB AND ITS APPROACHES AT THE LEVEL OF CROSSING (L C NO. 29-B) OF KM 29 (EKAN,MoRTH,N24002193,BIHAR,3/2023,201.08,N.A.,201.08,7/2026,N.A.,7/2026
RAILWAYS,7,CONSTRUCTION OF 6-LANE ELEVATED / EXTRA DOSE CABLE BRIDGE ON RIVER GANGA PARALLEL TO & WESTERN SIDE,MoRTH,N24002194,BIHAR,1/2024,"3,064.45",N.A.,"3,064.45",11/2027,N.A.,11/2027
RAILWAYS,8,ESTIMATE FOR IMPROVEMENT TO TWO LANE WITH PAVED SHOULDER FROM RAMNAGAR TO ROSEDA FROM (KM 3.500 TO 4,MoRTH,N24002195,BIHAR,1/2022,495.16,N.A.,495.16,4/2026,N.A.,4/2026
ROAD TRANSPORT AND HIGHWAYS,9,CONSTRUCTION OF BHABHUA BYPASS FROM CH. 10+800(DESIGN CH. 10+800) TO CH. 19+860 (DESIGN CH. 18+150),MoRTH,N24002196,BIHAR,2/2022,179.86,N.A.,179.86,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,10,IMPROVEMENT TO TWO LANE WITH PAVED SHOULDER FROM JUNCTION OF NH-22 NEAR HAJIPUR TO JUNCTION OF NH-12,MoRTH,N24002197,BIHAR,2/2024,226.15,N.A.,226.15,2/2026,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,11,IMPROVEMENT TO TWO LANE WITH PAVED SHOULDERS OF BH/WBBORDER-AMDABAD-MANIHARI SECTION FROM DESIGN KM,MoRTH,N24002198,BIHAR,1/2022,353.27,N.A.,353.27,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,12,WIDENING TO 4L RIGID PAVEMENT CONFIGURATION FROM KM 90.00 TO KM 100.800 OF NH-96 (KM 42.O TO KM 53.3,MoRTH,N24002199,UTTAR PRADESH,12/2022,309.63,N.A.,309.63,11/2026,N.A.,11/2026
ROAD TRANSPORT AND HIGHWAYS,13,BALANCE WORKS OF 4 LANE DIVIDED CARRIAGEWAY OF MISSING LINK SECTION OF NH-39 (REWA BYPASS) FROM JUNC,NHAI,N24002200,MADHYA PRADESH,4/2024,355.36,N.A.,355.36,4/2026,N.A.,4/2026
ROAD TRANSPORT AND HIGHWAYS,14,IMPROVEMENT AND UP-GRADATION TO TWO LANE WITH PAVED SHOULDER/FOUR LANE CONFIGURATION FROM EXISTING K,MoRTH,N24002201,UTTAR PRADESH,1/2022,974.19,N.A.,974.19,5/2027,N.A.,5/2027
URBAN DEVELOPMENT,15,PUNE METRO PHASE-1 EXTENSION FROM SWARGATE TO KATRAJ,MMRC,N28000160,MAHARASHTRA,9/2024,"2,954.53",N.A.,"2,954.53",3/2029,N.A.,3/2029
Grand Total,,,,,,,"11,115.37",-,"11,115.37",,,
