Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
CIVIL AVIATION,1,BAGDOGRA AIRPORT: DEVELOPMENT OF NEW CIVIL ENCLAVE AT BAGDOGRA AIRPORT. SUB-HEAD : CONSTRUCTION OF N,AAI,N04000115,WEST BENGAL,8/2024,"1,549.00",N.A.,"1,549.00",3/2027,N.A.,3/2027
COAL,2,GAURI CENTRAL OCM,WCL,N06000278,MAHARASHTRA,8/2023,"1,015.07",N.A.,"1,015.07",3/2030,N.A.,3/2030
COAL,3,FOUR LANING OF RAGHOGARH (DESIGN CH.29.300/EXISTING CH. 29.555) TO NANASA (DESIGN CH.92.971/EXISTING,NHAI,N24002166,MADHYA PRADESH,3/2024,799.20,N.A.,799.20,3/2026,Mar-26,3/2026
COAL,4,UPGRADATION TO 2 LANE WITH PAVED SHOULDER OF HANUMANGARH TO KENCHIYAN OF NH 54 ON EPC MODE IN THE ST,MoRTH,N24002167,RAJASTHAN,3/2024,334.64,N.A.,334.64,10/2026,N.A.,10/2026
COAL,5,UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM NEECHLI ODEN (NATHDWARA) AT DESIGN KM 88.800 TO BHATE,MoRTH,N24002168,RAJASTHAN,3/2023,606.61,N.A.,606.61,10/2026,N.A.,10/2026
COAL,6,REHABILITATION/UPGRADATION OF EXISTING HIGHWAY TO 2L+PS/4 LANE OF DHAWALI TO RAJOLI FROM DESIGN KM.1,MoRTH,N24002169,MAHARASHTRA,3/2022,316.44,N.A.,316.44,9/2025,N.A.,9/2025
COAL,7,REHABILITATION/ UPGRADATION OF EXISTING HIGHWAY TO FOUR LANE STANDARDS IN KURKHEDA TOWN FROM (KM.413,MoRTH,N24002170,MAHARASHTRA,3/2022,163.86,N.A.,163.86,5/2025,N.A.,5/2025
COAL,8,REHABILITATION & UP-GRADATION FOR TALERE A?? GAGANBAWDAA?? KOLHAPUR ROAD (NH-166G) STRETCHES START F,MoRTH,N24002171,MAHARASHTRA,2/2023,249.13,N.A.,249.13,4/2025,N.A.,4/2025
COAL,9,"UP-GRADATION TO 4 LANE CONFIGURATION FOR THE WORK OF PETH NAKA TO SANGLI ROAD, NH-166H, FROM KM 0+00",MoRTH,N24002172,MAHARASHTRA,2/2023,856.82,N.A.,856.82,12/2025,N.A.,12/2025
COAL,10,REHABILITATION AND UP-GRADATION TO 2 LANE WITH PAVED SHOULDER CONFIGURATION OF MAHUD SANGOLA ROAD NH,MoRTH,N24002173,MAHARASHTRA,2/2023,253.78,N.A.,253.78,4/2025,N.A.,4/2025
COAL,11,UP-GRADATION TO FOUR LANE/ TWO LANE WITH PAVED SHOULDERS CONFIGURATION OF KALYAN - MURBAD - MALSHEJ,MoRTH,N24002174,MAHARASHTRA,2/2023,984.07,N.A.,984.07,8/2026,N.A.,8/2026
COAL,12,CONSTRUCTION OF FOUR-LANE CONCRETE ROAD FROM POLICE HEADQUARTER GONDIA CITY TO RAWANWADI VILLAGE (BI,MoRTH,N24002175,MAHARASHTRA,2/2023,328.11,N.A.,328.11,8/2025,N.A.,8/2025
COAL,13,REHABILITATION/UP GRADATION OF KARANJA ? KHERDA - MURTIZAPUR SECTION TO 4LANE+PAVED SHOULDER STANDA,MoRTH,N24002176,MAHARASHTRA,3/2023,594.44,N.A.,594.44,2/2026,N.A.,2/2026
COAL,14,REHABILITATION / UPGRADATION TO 4 LANE WITH PAVED SHOULDER OF EXISTING SECTION IN SILLOD TOWN WITH D,MoRTH,N24002177,MAHARASHTRA,3/2023,153.79,N.A.,153.79,7/2025,N.A.,7/2025
ROAD TRANSPORT AND HIGHWAYS,15,"REHABILITATION, UPGRADATION & WIDENING OF EXISTING HIGHWAY TO RIGID PAVEMENT 2 LANE WITH PAVED SHOUL",MoRTH,N24002178,MAHARASHTRA,2/2023,723.13,N.A.,723.13,7/2026,N.A.,7/2026
ROAD TRANSPORT AND HIGHWAYS,16,CONSTRUCTION OF 4 LANE WITH PAVED SHOULDER (PATTAN BYPASS) GREENFIELD BYPASS FROM EXISTING CH. KM 24,BRO,N24002179,JAMMU AND KASHMIR,3/2023,980.21,N.A.,980.21,7/2026,N.A.,7/2026
ROAD TRANSPORT AND HIGHWAYS,17,REHABILITATION AND UPGRADATION TO 2 LANE WITH PAVED SHOULDER FROM EXISTING CHAINAGE KM 166.100 TO KM,BRO,N24002180,JAMMU AND KASHMIR,9/2021,734.64,N.A.,734.64,7/2026,N.A.,7/2026
ROAD TRANSPORT AND HIGHWAYS,18,CONSTRUCTION OF SIX LANE ELEVATED CORRIDOR FROM KM. 508.000 TO KM. 513.150 INCLUDING APPROACHES ON N,MoRTH,N24002181,GOA,4/2023,641.46,N.A.,641.46,4/2026,N.A.,4/2026
ROAD TRANSPORT AND HIGHWAYS,19,WORK OF DEVELOPMENT AND CONSTRUCTION OF ELEVATED CORRIDORFROM KM 38/660 TO KM 42/690 (ISCON JUNCTION,MoRTH,N24002182,GUJARAT,3/2023,530.20,N.A.,530.20,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,20,"WIDENING 2 LANE TO 4-LANE FROM KM 92/320 TO KM 115/320 (VAV CHOKDI-SATLASANA TO TO VRUNDAVAN CHOKDI,",MoRTH,N24002183,GUJARAT,3/2022,151.13,N.A.,171.00,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,21,CONSTRUCTION OR 4 LANE RANIGANJ BYPASS OF LENGTH 5 261 KM ON NH 60 NEW NH 14 FROM KM 273 00 OF NH,MoRTH,N24002184,WEST BENGAL,3/2023,410.83,N.A.,410.83,3/2026,Mar-26,3/2026
ROAD TRANSPORT AND HIGHWAYS,22,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDERS (BARAMULLA BYPASS) GREENFIELD BYPASS FROM EXISTING CH. K,BRO,N24002185,JAMMU AND KASHMIR,3/2023,992.43,N.A.,992.43,9/2026,N.A.,9/2026
ROAD TRANSPORT AND HIGHWAYS,23,WIDENING TO 2 LANE WITH PAVED SHOULDERS FROM DESIGN KM 103.200 (EXISTING KM 103.200) TO DESIGN KM 11,MoRTH,N24002186,KARNATAKA,3/2024,166.58,N.A.,166.58,9/2025,N.A.,9/2025
ROAD TRANSPORT AND HIGHWAYS,24,CONSTRUCTION OF 2 LANE WITH PAVED SHOULDER FROM KM 55.6 TO KM 90.7 (EXISTING CHAINAGES) OF NH- 766C (,MoRTH,N24002187,KARNATAKA,2/2024,313.56,N.A.,313.56,2/2026,N.A.,2/2026
ROAD TRANSPORT AND HIGHWAYS,25,WIDENING TO 2L+PS FROM KM 71.00 TO 104.00 (EXISTING CHAINAGES) (SARJAPUR TO PATTADKALLU) ON BHANAPUR,MoRTH,N24002188,KARNATAKA,3/2024,445.62,N.A.,445.62,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,26,WIDENING TO TWO LANE WITH PAVED SHOULDERS FROM KM 0.00 (DESIGN CHAINAGE 0.00) TO KM 23.338 (DESIGN C,MoRTH,N24002189,KARNATAKA,9/2024,196.05,N.A.,196.05,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,27,CONSTRUCTION OF 4-LANE ACCESS CONTROLLED GREENFIELD HIGHWAY SECTION ON NH-163G (KHAMMAM-VIJAYAWADA),NHAI,N24002190,TELANGANA,3/2023,983.00,N.A.,983.00,8/2026,N.A.,8/2026
Grand Total,,,,,,,"15,473.80",-,"15,493.67",,,
