Sector,Sl. No.,Project Name,Agency Name,Project Code,State Name,Date of Approval (MM/YYYY),Cost Original,Cost Revised,Cost Anticipated,Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated
PETROLEUM,1,HP TRIJET UNIT IN VR,HPCL,N16000535,ANDHRA PRADESH,7/2024,193.00,N.A.,193.00,7/2027,N.A.,7/2027
PETROLEUM,2,DEMO PLANT FOR PRODUCTION OF BIO-ATF,MANGALORE REFIN,N16000536,KARNATAKA,3/2024,364.00,N.A.,364.00,3/2027,N.A.,3/2027
PETROLEUM,3,INTEGRATED DEVELOPMENT OF 4 CONTRACT AREAS UNDER DSF2,ONGC,N16000537,MAHARASHTRA,5/2023,"6,183.79",N.A.,"6,183.79",4/2027,N.A.,4/2027
PETROLEUM,4,TS FOR EVACUATION OF POWER FROM 7GW REZ IN KHAVDA AREA UNDER PHASE-IV PART E2,PGCIL,N18000390,GUJARAT,5/2024,679.00,N.A.,679.00,5/2026,N.A.,5/2026
PETROLEUM,5,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),PGCIL,N18000391,RAJASTHAN,8/2024,"3,279.00",N.A.,"3,279.00",8/2026,N.A.,8/2026
POWER,6,TS FOR EVACUATION POWER RAJASTHAN REZ PH- IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,PGCIL,N18000392,MADHYA PRADESH,8/2024,"2,708.00",N.A.,"2,708.00",8/2026,N.A.,8/2026
POWER,7,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART-C,PGCIL,N18000393,RAJASTHAN,8/2024,"2,227.00",N.A.,"2,227.00",8/2026,N.A.,8/2026
POWER,8,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX) PART-E,PGCIL,N18000394,RAJASTHAN,8/2024,"3,251.00",N.A.,"3,251.00",8/2026,N.A.,8/2026
POWER,9,AUGMENTATION OF 1500MVA 3RD 765/400KV TRANSFORMATION CAPACITY AT KURNOOL NEW SUBSTATION,PGCIL,N18000395,ANDHRA PRADESH,5/2023,164.00,N.A.,164.00,9/2025,N.A.,9/2025
POWER,10,CONSTRUCTION OF 4-LANE PANCHGRAM BYPASS FROM DESIGN CHAINAGE KM 15+500 ON NH-37 (OLD NH-53) AT KALIN,NHIDCL,N24002154,ASSAM,3/2023,728.97,N.A.,728.97,2/2027,N.A.,2/2027
POWER,11,WIDENING/IMPROVEMENT TO 4-LANE WITH PAVED SHOULDER FROM KM 55+000 (NAGABANG GAMSUK) TO KM 82+514 (OY,NHIDCL,N24002155,ASSAM,3/2023,665.47,N.A.,665.47,3/2027,N.A.,3/2027
POWER,12,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDER OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADUM,NHIDCL,N24002156,MEGHALAYA,3/2023,620.30,N.A.,620.30,9/2026,N.A.,9/2026
POWER,13,SHILLONG WESTERN BYPASS PACKAGE-2,NHIDCL,N24002157,MEGHALAYA,3/2023,686.00,N.A.,686.00,9/2026,N.A.,9/2026
POWER,14,CONSTRUCTION OF 2-LANE WITH PAVED SHOULDERS OF SHILLONG WESTERN BYPASS STARTING FROM NH-06 NEAR LADU,NHIDCL,N24002158,MEGHALAYA,3/2023,562.48,N.A.,562.48,9/2026,N.A.,9/2026
ROAD TRANSPORT AND HIGHWAYS,15,REHABILITATION AND UP-GRADATION OF ROAD FROM DESIGN KM 25.250 TO KM 36.460 (TOTAL LENGH: 11.210 KM),NHIDCL,N24002159,TRIPURA,2/2020,174.43,N.A.,174.43,3/2026,N.A.,3/2026
ROAD TRANSPORT AND HIGHWAYS,16,IMPROVEMENT AND WIDENING TO 2-LANE WITH PAVED SHOULDER OF ROAD FROM KM 101.300 TO KM 127.319 (TOTAL,NHIDCL,N24002160,TRIPURA,1/2024,431.78,N.A.,431.78,7/2026,N.A.,7/2026
ROAD TRANSPORT AND HIGHWAYS,17,KHOWAI TELIAMURA-AMARPUR-HARINA- SABROOM PACKAGE-2,NHIDCL,N24002161,TRIPURA,1/2024,657.21,N.A.,657.21,9/2026,N.A.,9/2026
ROAD TRANSPORT AND HIGHWAYS,18,KHOWAI TELIAMURA-AMARPUR-HARINA- SABROOM PACKAGE-3,NHIDCL,N24002162,TRIPURA,1/2024,670.90,N.A.,670.90,9/2026,N.A.,9/2026
ROAD TRANSPORT AND HIGHWAYS,19,CONSTRUCTION FOR MITIGATION MEASURES KM 368.00-UTTARAKHAND-TO KM 433.00 ON NH-07- PKG-1,NHIDCL,N24002163,UTTARAKHAND,12/2023,216.88,N.A.,216.88,12/2025,N.A.,12/2025
ROAD TRANSPORT AND HIGHWAYS,20,CONSTRUCTION FOR MITIGATION MEASURES KM 450.00-UTTARAKHAND-TO KM 468.00 ON NH-07- PKG-3,NHIDCL,N24002164,UTTARAKHAND,12/2023,250.33,N.A.,250.33,12/2025,N.A.,12/2025
ROAD TRANSPORT AND HIGHWAYS,21,CONSTRUCTION OF BYPASS TO MADURAI - ACHAMBATHU - VIRATIPATHU IN KM 6/850 - 10/382 OF NH 49 EXTN. (NE,MoRTH,N24002165,TAMIL NADU,3/2022,238.97,N.A.,238.97,8/2026,N.A.,8/2026
Grand Total,,,,,,,"24,952.51",-,"24,952.51",,,
