State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
ANDAMAN AND NICOBAR ISLANDS,CIVIL AVIATION,1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,10/2013,9/2018,May-23,6/2023,417.23,707.73,707.73,698.80,100
ANDAMAN AND NICOBAR ISLANDS,RAILWAYS,2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,3/2019,3/2025,N.A.,3/2025,235.72,N.A.,235.72,0.00,0
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,3,CONSTRUCTION OF MAJOR BRIDGE OVER MIDDLE STRAIT CREEK BETWEEN KM. 106.590 TO KM. 107.762 OF NH 223 (,NHIDCL,N24000744,3/2015,1/2022,N.A.,2/2026,262.97,N.A.,262.97,92.73,41.55
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,4,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,3/2017,12/2019,Mar-23,7/2024,409.85,N.A.,409.85,214.23,89.07
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,5,REHABILITATION AND UP GRADATION OF SECTION FROM KM 107.760 TO KM 129.445 (AFTER MIDDLE STRAIT TO HUM,NHIDCL,N24000748,2/2018,9/2020,Jan-23,8/2025,391.00,N.A.,391.00,170.37,57.55
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,6,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,3/2018,9/2020,Nov-22,9/2024,234.27,N.A.,234.27,126.50,76.86
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,7,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,11/2017,11/2019,N.A.,11/2019,237.80,N.A.,238.00,222.13,97.46
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,8,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,11/2017,11/2019,N.A.,11/2019,257.34,N.A.,238.00,214.90,100
ANDAMAN AND NICOBAR ISLANDS,9,AJANTHA TO BULDHANA | (MoRTH) | (N24001008),2/2017,,,7/2019 | (N.A.) | {12/2023},401.00,401.00,401.00,260.08,,,97
CIVIL AVIATION,10,EXT AND STR. OF EXISTING RUNWAY | 08/26 AT TIRUPATI AIRPORT | (AAI) | (N04000089),8/2017,,,2/2020 | (Dec-21) | {1/2024},177.10,N.A.,177.10,143.08,,,100
CIVIL AVIATION,11,C/O OF NITB AND ASSOCIATED WORK | AT VIJAYAWADA AIRPORT | (AAI) | (N04000091),4/2020,,,3/2023 | (N.A.) | {6/2025},611.80,N.A.,611.80,308.89,,,52
CIVIL AVIATION,12,RAJAHMUNDRY AIRPORT: | CONSTRUCTION OF NEW DOMESTIC | TERMINAL BUILDING AND | MISCELLANEOUS WORKS INCLUD | (AAI) | (N04000103),12/2022,,,8/2025 | (N.A.) | {8/2025},347.15,N.A.,347.15,39.83,,,24
CIVIL AVIATION,13,KADAPPA AIRPORT- CONSTRUCTION | OF NEW DOMESTIC TERMINAL | BUILDING AND MISCELLANEOUS | WORKS INCLUDING MA | (AAI) | (N04000106),3/2023,,,1/2026 | (N.A.) | {1/2026},265.91,N.A.,265.91,22.06,,,14
DEPARTMENT,14 15,CONSTRUCTION OF PERMANENT | CAMPUS FOR INDIAN INSTITUTE OF | TECHNOLOGY TIRUPATI AT | MERLAPAKA VILLAGE YE | (CPWD EDUCATION) | (N42000005),2/2019,,,6/2020 | (N.A.) | {6/2020},655.34,N.A.,655.34,366.21,,,95
DEPARTMENT,15,"CONSTRUCTION OF PERMANENT | CAMPUS FOR IISER AT JANGALAPALLI | VILLAGE, YERPEDU MANDAL, | CHITTOOR DISTRIC | (CPWD EDUCATION) | (N42000007)",9/2019,,,9/2022 | (N.A.) | {6/2024},588.72,656.39,656.39,666.18,,,100
DEPARTMENT,16,VISAKH REFINERY MODERNISATION | PROJECT | (HPCL) | (N16000235),7/2016,,,7/2020 | (Jul-22) | {10/2024},"20,928.00","26,264.00","30,609.00","25,921.72",,,98.41
DEPARTMENT,17,KG-DWN-98-2 CLUSTER II | DEVELOPMENT PROJECT | (ONGC) | (N16000247),3/2016,,,6/2020 | (Mar-25) | {3/2025},"34,012.00",N.A.,"34,012.00","30,136.72",,,93.3
DEPARTMENT,18,REVAMPING OF FACILITIES AT VIZAG | TERMINAL | (IOCL) | (N16000343),4/2018,,,4/2022 | (Mar-25) | {3/2025},355.00,N.A.,355.00,238.15,,,76.8
DEPARTMENT,19,SWRO II WITH LLPH FACILITIES | (HPCL) | (N16000378),9/2019,,,7/2020 | (N.A.) | {3/2025},196.26,196.26,196.26,147.53,,,86.8
DEPARTMENT,20,HP CRUDE TO OLEFINS AND | AROMATICS TECHNOLOGY DEMO UNIT | AT VISAKH REFINERY | (HPCL) | (N16000432),9/2021,,,6/2024 | (N.A.) | {6/2025},160.00,N.A.,160.00,11.36,,,40
DEPARTMENT,21,"CGD PROJECT AT KURNOOL, GUNTUR | AND PRAKASAM DISTRICTS | (IOCL) | (N16000485)",3/2022,,,3/2030 | (N.A.) | {3/2030},"1,420.00",N.A.,"1,420.00",105.01,,,4.8
DEPARTMENT,22,MULTI-PRODUCT PIPELINE FROM | KRISHNAPATNAM COASTAL | INSTALLATION TO THE PROPOSED | INSTALLATION AT HYDER | (BPCL) | (N16000499),9/2019,,,3/2025 | (N.A.) | {10/2025},"1,932.00",N.A.,"1,932.00","1,491.57",,,65.8
POWER,23,TRANSMISSION SCHEME FOR SOLAR | ENERGY ZONE IN ANANTHPURAM | (2500MW) AND KURNOOL (1000MW) | (PGCIL) | (N18000380),9/2023,,,3/2025 | (N.A.) | {9/2025},"1,249.00",N.A.,"1,249.00",83.51,,,10
POWER,24,KOTLPALLI-NARASAPUR (NL) (SCR) | (SCR) | (220100265),12/2001,,,3/2009 | (N.A.) | {3/2027},"1,045.20",N.A.,"2,500.98","1,150.74",,,
POWER,25,NADIKUDE-SRI KALAHASTI | (SCR) | (N22000286),4/2011,,,3/2021 | (N.A.) | {5/2027},"2,288.70",N.A.,"3,122.35","1,657.11",,,
POWER,26,GUNTUR-GUNTAKAL | (SCR) | (N22000368),4/2016,,,3/2022 | (N.A.) | {12/2025},"3,631.00",N.A.,"3,887.48","3,110.26",,,
27,VIJAYAWADA-GUDUR (RVNL) (N22000369),4/2015,12/2023,N.A.,{12/2024},"3,246.26 | (N.A.) | {6,238.67}","5,614.60",,,84,,
28,KOTTAVALSA - KORAPUT DOUBLING (ECOR) (N22000377),4/2015,3/2022,N.A.,{3/2022},"2,499.71 | (N.A.) | {2,499.71}","1,679.82",,,67,,
29,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM) (SWR) (N22000555)",4/2019,3/2026,N.A.,{2/2025},294.67 | (307.66) | {307.66},110.93,,,41,,
30,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23) (SWR) (N22000556),9/2022,12/2025,N.A.,{12/2026},323.14 | (342.41) | {342.41},39.46,,,12,,
31,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225) (SCR) (N22000585),3/2023,3/2027,N.A.,{3/2027},351.83 | (N.A.) | {351.83},0.00,,,,,
32,VIJAYAWADA KAZIPET BYEPASS LINE (SCR) (N22000586),4/2016,12/2025,N.A.,{12/2025},226.72 | (N.A.) | {226.72},161.84,,,55,,
33,RENIGUNTA WADI GOOTY - BYPASS (SCR) (N22000587),4/2016,12/2025,N.A.,{12/2025},302.00 | (N.A.) | {302.00},147.00,,,50,,
34,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH 365BG FROM RECHARLA VI (NHAI) (N24001476),9/2021,9/2022,Sep-24,{3/2025},517.05 | (N.A.) | {655.06},504.99,,,60.5,,
35,CONSTRUCTION OF 4 LANE ACCESS CONTROLLED NEW GREENFIELD HIGHWAY SECTION OF NH-365BG (KHAMMAM-DEVARAP (NHAI) (N24001477),9/2021,9/2022,Sep-24,{3/2025},622.00 | (N.A.) | {817.91},481.97,,,52.35,,
36,6L OF CHILKARARUPET BYPASS FROM KM. 357.400 TO KM. 371.920 OF NH-16 (NHAI) (N24001817),2/2019,3/2023,Oct-24,{10/2024},757.45 | (N.A.) | {757.45},471.32,,,77.56,,
37,6L OF PONDAVAKKAM TO KANNIGAIPAIR FROM KM 96.040 TO KM 116.100 OF NH 716B (PKG-IV) (NHAI) (N24001818),2/2021,1/2025,N.A.,{1/2025},"818.73 | (N.A.) | {1,105.00}",313.61,,,15.05,,
38,6L OF VEERA KAVERI RAJA PURAM TO PONDAVAKKAM FROM KM 61.380 TO KM 96.040 OF NH 716B (PKG-III) (NHAI) (N24001819),3/2021,1/2025,N.A.,{1/2025},"1,102.63 | (N.A.) | {1,303.00}",753.00,,,72.3,,
39,6L OF VARADHARAJULA TO KUMARAJAPET FROM KM 0.000 TO KM 43.800 OF NH-716B (PKG-I) (NHAI) (N24001820),2/2021,12/2024,N.A.,{12/2024},"1,484.83 | (N.A.) | {1,768.00}","1,028.32",,,56.41,,
40,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-III) FROM KM.127.000 TO KM 156.000 (BANGARUPALEM TO GUDIP (NHAI) (N24001821),11/2020,10/2024,N.A.,{10/2024},"1,137.74 | (N.A.) | {1,289.00}",874.50,,,80.8,,
41,BANGALORE CHENNAI EXPRESSWAY (PHASE-II PKG-I) FROM KM.71.000 TO KM 96.000 (BETHAMANGALA IN THE STATE (NHAI) (N24001822),12/2020,10/2024,N.A.,{10/2024},"1,075.27 | (N.A.) | {1,307.00}",753.94,,,61.67,,
42,4L OF MADANAPALLE TO PILERU SECTION FROM KM 0.000 TO KM 55.900 OF NH-71(PACKAGE-I) - N/05060/01002/A (NHAI) (N24001823),1/2022,1/2025,Jan-23,{1/2025},"1,852.12 | (N.A.) | {1,787.00}",525.31,,,62,,
43,RENIGUNTA - POYYA - NAIDUPETA KM 124.60 TO KM 183.4 OF NH 71 - N/04027/06001/AP (NHAI) (N24001824),3/2020,1/2024,Dec-24,{12/2024},"1,863.09 | (N.A.) | {2,238.00}","1,207.08",,,90.2,,
44,6L KANTAKAPALLE ? SABBAVARAM SECTION OF NH-130CD ROAD FROM KM 445.100 TO KM 464.662 (PKG-4) (NHAI) (N24001836),2/2021,10/2024,N.A.,{10/2024},824.29 | (N.A.) | {924.00},385.35,,,61,,
45,6L JAKKUVA ? KORLAM SECTION OF NH- 130CD ROAD FROM KM 396.800 TO KM 421.100 (PKG 2) (NHAI) (N24001837),2/2021,3/2024,Jul-24,{9/2024},663.60 | (N.A.) | {768.00},305.55,,,85,,
46,6L ALURU - JAKKUVA SECTION OF NH- 130CD ROAD FROM KM 365.033 TO KM 396.800 (PKG. 1) (NHAI) (N24001838),2/2021,3/2024,N.A.,{3/2025},"922.50 | (N.A.) | {1,128.68}",361.43,,,68.5,,
47,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM KODUR 0.000 KMS TO VANAVOLU 24.300 KMS OF NH 544G PACKA (NHAI) (N24001841),12/2022,9/2025,N.A.,{2/2026},912.94 | (N.A.) | {912.94},119.04,,,19.07,,
48,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANAVOLU 24.300 KM. TO VANKARAKUNTA 45.700 KM. OF NH 5 (NHAI) (N24001842),12/2022,11/2025,N.A.,{11/2025},750.81 | (N.A.) | {750.81},76.57,,,16,,
49,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM VANKARAKUNTA 45.700 KM. TO ODULAPALLE 72.000 KM. OF NH (NHAI) (N24001843),12/2022,11/2025,N.A.,{11/2025},992.89 | (N.A.) | {992.89},59.87,,,11.5,,
50,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM ODULAPALLE 72.000 KM. TO NALLACHERUVUPALLI 96.300 KM. (NHAI) (N24001844),12/2022,10/2025,N.A.,{10/2025},"1,058.90 | (N.A.) | {1,058.90}",131.27,,,10.77,,
51,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM NALLACHERUVU PALLI 96.300 KM. TO YERRAGUDIPADU 129.000 (NHAI) (N24001845),2/2023,10/2025,N.A.,{10/2025},"1,253.24 | (N.A.) | {1,253.24}",70.84,,,3.5,,
52,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM YERRAGUDIPADU 129.000 KM. TO AUDIREDDIPALLE 160.000 KM. (NHAI) (N24001846),2/2023,10/2025,N.A.,{10/2025},"1,200.42 | (N.A.) | {1,200.42}",57.64,,,1.5,,
53,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM AUDIREDDIPALLE 160.000 KM. TO MALLAPALLE 176.000 KM. PA (NHAI) (N24001847),1/2023,11/2025,N.A.,{11/2025},956.14 | (N.A.) | {956.14},57.22,,,10.21,,
54,6L ACCESS CONTROLLED GREENFIELD HIGHWAY FROM MALLAPALLE 176.000 KM. TO KAVULAKUNTLA 196.000 KM. PACK (NHAI) (N24001848),2/2023,10/2025,N.A.,{10/2025},909.02 | (N.A.) | {909.02},59.96,,,4.6,,
55,4L PS MYDUKUR BADVEL FROM KM 585.820 TO KM 630.960 SECTION OF NH 67 (NHAI) (N24001849),5/2022,7/2025,N.A.,{9/2025},"1,063.72 | (N.A.) | {1,063.72}",310.90,,,38.06,,
56,CONSTRUCTION OF 4-LANE HIGHWAY FROM SAMARLAKOTA TO ACHAMPETA JUNCTION (FROM KM. 0.000 TO KM. 12.250 (NHAI) (N24001856),5/2023,8/2025,N.A.,{8/2025},648.75 | (N.A.) | {648.75},104.87,,,29.82,,
