State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
ANDAMAN AND NICOBAR ISLANDS,CIVIL AVIATION,1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,10/2013,9/2018,May-23,6/2023,417.23,707.73,707.73,698.8,100
ANDAMAN AND NICOBAR ISLANDS,RAILWAYS,2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,3/2019,3/2025,N.A.,3/2025,235.72,N.A.,235.72,0,0
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,3,CONSTRUCTION OF MAJOR BRIDGE OVER MIDDLE STRAIT CREEK BETWEEN KM. 106.590 TO KM. 107.762 OF NH 223 (,NHIDCL,N24000744,3/2015,1/2022,N.A.,2/2026,262.97,N.A.,262.97,92.73,41.55
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,4,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,3/2017,12/2019,Mar-23,7/2024,409.85,N.A.,409.85,214.23,89.07
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,5,REHABILITATION AND UP GRADATION OF SECTION FROM KM 107.760 TO KM 129.445 (AFTER MIDDLE STRAIT TO HUM,NHIDCL,N24000748,2/2018,9/2020,Jan-23,8/2025,391,N.A.,391,170.37,57.55
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,6,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,3/2018,9/2020,Nov-22,9/2024,234.27,N.A.,234.27,126.5,76.86
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,7,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,11/2017,11/2019,N.A.,11/2019,237.8,N.A.,238,222.13,97.46
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,8,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,11/2017,11/2019,N.A.,11/2019,257.34,N.A.,238,214.9,100
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND,9,AJANTHA TO BULDHANA,MoRTH,N24001008,2/2017,7/2019,N.A.,12/2023,401,401,401,260.08,97
ANDHRA PRADESH,CIVIL AVIATION,10,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,AAI,N04000089,8/2017,2/2020,Dec-21,1/2024,177.1,N.A.,177.1,143.08,100
ANDHRA PRADESH,CIVIL AVIATION,11,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,N04000091,4/2020,3/2023,N.A.,6/2025,611.8,N.A.,611.8,291.31,50
ANDHRA PRADESH,CIVIL AVIATION,12,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,N04000103,12/2022,8/2025,N.A.,8/2025,347.15,N.A.,347.15,35.8,23
ANDHRA PRADESH,CIVIL AVIATION,13,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,N04000106,3/2023,1/2026,N.A.,1/2026,265.91,N.A.,265.91,11.05,7
ANDHRA PRADESH,DEPARTMENT OF,14,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,N42000005,2/2019,6/2020,N.A.,6/2020,655.34,N.A.,655.34,366.21,95
ANDHRA PRADESH,DEPARTMENT OF,15,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,N42000007,9/2019,9/2022,N.A.,6/2024,588.72,656.39,656.39,666.18,100
ANDHRA PRADESH,PETROLEUM,16,VISAKH REFINERY MODERNISATION PROJECT,HPCL,N16000235,7/2016,7/2020,Jul-22,8/2024,20928,26264,26264,25921.72,98.4
ANDHRA PRADESH,PETROLEUM,17,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,N16000247,3/2016,6/2020,Mar-25,3/2025,34012,N.A.,34012,29969.67,92.1
ANDHRA PRADESH,PETROLEUM,18,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,N16000343,4/2018,4/2022,Mar-25,3/2025,355,N.A.,355,237.5,76.7
ANDHRA PRADESH,PETROLEUM,19,SWRO II WITH LLPH FACILITIES,HPCL,N16000378,9/2019,7/2020,N.A.,11/2024,196.26,196.26,196.26,147.53,86.8
ANDHRA PRADESH,PETROLEUM,20,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,N16000432,9/2021,6/2024,N.A.,6/2025,160,N.A.,160,10.07,40
ANDHRA PRADESH,PETROLEUM,21,"CGD PROJECT AT KURNOOL, GUNTUR AND PRAKASAM DISTRICTS",IOCL,N16000485,3/2022,3/2030,N.A.,3/2030,1420,N.A.,1420,101.92,4.7
ANDHRA PRADESH,PETROLEUM,22,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,N16000499,9/2019,3/2025,N.A.,10/2025,1932,N.A.,1932,1437.21,62.5
ANDHRA PRADESH,POWER,23,TRANSMISSION SCHEME FOR SOLAR ENERGY ZONE IN ANANTHPURAM (2500MW) AND KURNOOL (1000MW),PGCIL,N18000380,9/2023,3/2025,N.A.,9/2025,1249,N.A.,1249,73.81,6
ANDHRA PRADESH,RAILWAYS,24,KOTLPALLI-NARASAPUR (NL) (SCR),SCR,220100265,12/2001,3/2009,N.A.,3/2027,1045.2,N.A.,2500.98,1150.74,0
ANDHRA PRADESH,RAILWAYS,25,NADIKUDE-SRI KALAHASTI,SCR,N22000286,4/2011,3/2021,N.A.,5/2027,2288.7,N.A.,3122.35,1650.8,0
ANDHRA PRADESH,RAILWAYS,26,GUNTUR-GUNTAKAL,SCR,N22000368,4/2016,3/2022,N.A.,12/2025,3631,N.A.,3887.48,3036.61,0
ANDHRA PRADESH,RAILWAYS,27,VIJAYAWADA-GUDUR,RVNL,N22000369,4/2015,12/2023,N.A.,12/2024,3246.26,N.A.,6238.67,5614.6,84
ANDHRA PRADESH,RAILWAYS,28,KOTTAVALSA - KORAPUT DOUBLING,ECOR,N22000377,4/2015,3/2022,N.A.,N.A.,2499.71,N.A.,2499.71,1642.27,66
ANDHRA PRADESH,RAILWAYS,29,"PENUKONDA-DHARMAVARAM, EXCL. DHARMAVARAM (41.5 KM)",SWR,N22000555,4/2019,3/2026,N.A.,2/2025,294.67,307.66,307.66,107.69,40
ANDHRA PRADESH,RAILWAYS,30,MALUGUR-PALASAMUDRAM (17.98 KM) (PB#29/NR/2022-23),SWR,N22000556,9/2022,12/2025,N.A.,12/2026,323.14,342.41,342.41,39.46,12
ANDHRA PRADESH,RAILWAYS,31,DOUBLING BETWEEN GOOTY- PENDAKALLU (29.225),SCR,N22000585,3/2023,3/2027,N.A.,3/2027,351.83,N.A.,351.83,0,0
ANDHRA PRADESH,RAILWAYS,32,VIJAYAWADA KAZIPET BYEPASS LINE,SCR,N22000586,4/2016,12/2025,N.A.,12/2025,226.72,N.A.,226.72,150.4,55
ANDHRA PRADESH,RAILWAYS,33,RENIGUNTA WADI GOOTY - BYPASS,SCR,N22000587,4/2016,12/2025,N.A.,12/2025,302,N.A.,302,118.98,50
ANDHRA PRADESH,ROAD TRANSPORT AND,34,REHABILITATION AND UPGRADATION OF EXISTING NH- 565 FROM KM.86.057 TO 133.922 OF NAGARJUNASAGAR DAM T,MoRTH,N24000282,1/2014,11/2014,N.A.,5/2024,195.45,N.A.,385.97,294.95,96.96
ANDHRA PRADESH,ROAD TRANSPORT AND,35,REHABILITATION AND UPGRADATION OF NH-219 FROM KM 58-600 TO KM 140-750 IN THE STATE OF ANDHRA PRADES,MoRTH,N24000301,3/2015,10/2015,May-21,5/2021,271.45,N.A.,271.45,238.23,100
ANDHRA PRADESH,ROAD TRANSPORT AND,36,REHABILITATION AND UPGRADATION OF NH-42 FROM KM 4-350 TO KM 75-600,MoRTH,N24000422,3/2015,9/2015,Aug-17,5/2018,309.01,N.A.,309.01,0,100
