State,Sector,Sl No,Project Name,Agency Name,Project Code,Date of Approval (MM/YYYY),Date of Commissioning Original,Date of Commissioning Revised,Date of Commissioning Anticipated,Cost Original,Cost Revised,Cost Anticipated,Cumulative Expenditure in Rs. Crore,Physical Progress (%)
ANDAMAN AND NICOBAR ISLANDS,CIVIL AVIATION,1,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR",AAI,N04000073,10-2013,9/2018,Jun-23,6/2023,417.23,707.73,707.73,698.80,100.00
ANDAMAN AND NICOBAR ISLANDS,RAILWAYS,2,LUDHIANA KILA RAIPUR (19 KMS) WITH FREIGHT LINE AT GILL STATION ON LDH-JHL SECTION,NR,N22000584,3-2019,3/2025,N.A.,10/2025,235.72,N.A.,235.72,49.11,53.00
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,3,"2 LANE WITH HARD SHOLDER , REHABILITATION AND UP GRADATION OF SECTION FROM KM 242.0 TO KM 298.0 OF N",NHIDCL,N24000745,3-2017,12/2019,Mar-23,9/2024,409.85,N.A.,409.85,214.23,94.59
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,4,REHABILITATION AND UP GRADATION OF SECTION FROM KM 206.00 TO KM 242.00 (NIMBUTALA TO AUSTIN CREEK) O,NHIDCL,N24000749,3-2018,9/2020,Nov-22,12/2024,234.27,N.A.,234.27,126.50,80.26
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,5,Rehabilitation and up gradation to 2 lane with paved shoulder configuration from existing km. 122.00,MoRTH,N24000820,11-2017,11/2019,N.A.,11/2019,237.80,N.A.,238.00,222.13,98.23
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,6,RECONSTRUCTION WITH GEOMETRIC IMPROVEMENT OF EXISTING 2 LANE/INTERMEDIATE LANE TO 2LANE WITH PAVED S,MoRTH,N24000821,11-2017,11/2019,N.A.,11/2019,257.34,N.A.,238.00,214.90,100.00
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,7,AJANTHA TO BULDHANA,MoRTH,N24001008,2 - 2 0 1 7,7 / 2 0 1 9,N.A.,12/2023,401.00,401.00,401.00,260.08,97.00
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,8,MAJOR BRIDGE OVER MIDDLE STRAIT CREEK,NHIDCL,N24002207,12-2024,2/2026,N.A.,2/2026,371.80,207.99,207.99,0.00,1.30
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,9,PACKAGE-3A,NHIDCL,N24002208,2 - 2 0 1 8,9 / 2 0 25,Mar-24,9/2025,207.54,154.01,154.01,16.21,32.38
ANDAMAN AND NICOBAR ISLANDS,ROAD TRANSPORT AND HIGHWAYS,10,PACKAGE-3B,NHIDCL,N24002209,2 - 2 0 1 8,1 1 / 2 0 25,N.A.,11/2025,183.47,N.A.,183.47,0.00,-
ANDHRA PRADESH,CIVIL AVIATION,11,EXT AND STR. OF EXISTING RUNWAY 08/26 AT TIRUPATI AIRPORT,AAI,N04000089,8-2017,2/2020,Dec-21,1/2024,177.10,N.A.,177.10,143.08,100.00
ANDHRA PRADESH,CIVIL AVIATION,12,KADAPPA AIRPORT- CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUDING MA,AAI,N04000106,3-2023,1/2026,N.A.,1/2026,265.91,N.A.,265.91,39.49,25.00
ANDHRA PRADESH,CIVIL AVIATION,13,C/O OF NITB AND ASSOCIATED WORK AT VIJAYAWADA AIRPORT,AAI,N04000091,4-2020,3/2023,J un-25,6/2025,611.80,N.A.,611.80,426.46,70.00
ANDHRA PRADESH,CIVIL AVIATION,14,RAJAHMUNDRY AIRPORT: CONSTRUCTION OF NEW DOMESTIC TERMINAL BUILDING AND MISCELLANEOUS WORKS INCLUD,AAI,N04000103,12-2022,8/2025,N.A.,8/2025,347.15,347.15,347.15,67.86,41.00
ANDHRA PRADESH,DEPARTMENT OF HIGHER EDUCATION,15,CONSTRUCTION OF PERMANENT CAMPUS FOR INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI AT MERLAPAKA VILLAGE YE,CPWD EDUCATION,N42000005,2-2019,6/2020,N.A.,6/2020,655.34,N.A.,655.34,366.21,95.00
ANDHRA PRADESH,DEPARTMENT OF HIGHER EDUCATION,16,"CONSTRUCTION OF PERMANENT CAMPUS FOR IISER AT JANGALAPALLI VILLAGE, YERPEDU MANDAL, CHITTOOR DISTRIC",CPWD EDUCATION,N42000007,9-2019,9/2022,N.A.,6/2024,588.72,656.39,656.39,666.18,100.00
ANDHRA PRADESH,PETROLEUM,17,HP TRIJET UNIT IN VR,HPCL,N16000535,7 - 2 0 2 4,7 / 2 0 2 7,N.A.,7/2027,193.00,N.A.,193.00,0.38,16.00
ANDHRA PRADESH,PETROLEUM,18,CONSTRUCTION OF AVIATION FUEL FARM FACILITIES AT BHOGAPURAM AIRPORT,HPCL,N16000538,8-2024,3/2026,N.A.,3/2026,240.00,N.A.,240.00,10.01,20.20
ANDHRA PRADESH,PETROLEUM,19,VISAKHA RAIPUR PIPELINE PROJECT,HPCL,N16000539,9-2024,9/2027,N.A.,9/2027,"2,212.00",N.A.,"2,212.00",2.18,2.45
ANDHRA PRADESH,PETROLEUM,20,MULTI-PRODUCT PIPELINE FROM KRISHNAPATNAM COASTAL INSTALLATION TO THE PROPOSED INSTALLATION AT HYDER,BPCL,N16000499,9-2019,3/2025,N.A.,10/2025,"1,932.00",N.A.,"1,932.00","1,491.63",82.40
ANDHRA PRADESH,PETROLEUM,21,REVAMPING OF FACILITIES AT VIZAG TERMINAL,IOCL,N16000343,4-2018,4/2022,Mar-25,3/2025,355.00,N.A.,355.00,249.36,100.00
ANDHRA PRADESH,PETROLEUM,22,HP CRUDE TO OLEFINS AND AROMATICS TECHNOLOGY DEMO UNIT AT VISAKH REFINERY,HPCL,N16000432,9-2021,6/2024,Mar-26,3/2026,160.00,220.00,220.00,50.04,54.90
ANDHRA PRADESH,PETROLEUM,23,KG-DWN-98-2 CLUSTER II DEVELOPMENT PROJECT,ONGC,N16000247,3-2016,6/2020,Mar-25,6/2025,"34,012.00",N.A.,"34,012.00","32,565.18",96.10
