project_code,project_name,sector,agency,state,physical_progress_pct,pace_pct_per_month,risk_score,risk_tier,cost_original_cr,cost_final_expected_cr,cost_variance_cr,cost_variance_pct,cost_estimate_confidence,date_approval,date_original,date_revised,date_agency_says,date_projected_p50,date_projected_p80,date_confidence,prob_finish_3mo_pct,prob_finish_12mo_pct,slip_declared_mo,slip_p50_mo,slip_p80_mo,benchmark_status,cohort_basis,why
N24001567,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-10) (CH. 292.950 TO CH. 319.400) [END OF INTERCHA,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,89.6,0.74,94.0,Critical,1273.0,1273.0,0.0,0.0,low - flagged for escalation,Nov-2019,Oct-2022,Aug-2025,Aug-2025,Oct-2025,Jan-2028,extrapolation - unverifiable beyond 1 year,4.0,15.0,34.0,36.0,64.0,within benchmark range,sector,2.7y past original commissioning date; pace is 14% of what the current date needs; date already moved 3x in 10 months
N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,CIVIL AVIATION,AAI,ASSAM,89.7,2.44,93.5,Critical,1142.0,2333.0,1191.0,104.3,low - flagged for escalation,Dec-2016,Mar-2021,Sep-2025,Sep-2025,Sep-2025,Jun-2026,extrapolation - unverifiable beyond 1 year,0.9,3.5,54.0,54.0,63.8,exhausted - already later than the typical completed project,all-sector fallback,agency anticipates +104% over approved cost; 4.3y past original commissioning date; spend outruns works by 81pp
N24001405,CHURACHANPUR TUIVAI PKG-3,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,80.3,0.63,93.1,Critical,673.3,673.3,0.0,0.0,low - flagged for escalation,Jul-2021,Oct-2023,Mar-2025,Dec-2025,Oct-2026,Jan-2029,extrapolation - unverifiable beyond 1 year,0.3,1.1,17.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 9 months past its approved date; 20 months past original date
N24002058,ADDITIONAL STRUCTURES ON 6LGURGAON-JAIPUR SECTION OF NH- 48 BETWEEN KM 42.700 TO KM 273.00,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,81.6,4.03,92.6,Critical,409.6,409.6,0.0,0.0,low - flagged for escalation,Aug-2022,Jun-2024,Jul-2025,Jul-2025,Jun-2027,Oct-2029,extrapolation - unverifiable beyond 1 year,0.7,2.6,13.0,36.0,64.0,within benchmark range,sector,12 months past original date; pace is 22% of what the current date needs; date already moved 2x in 10 months
N24001437,TAMENGLONG - MAHUR PKG-6,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,83.8,0.97,91.7,Critical,311.2,311.2,0.0,0.0,low - flagged for escalation,Sep-2021,May-2023,Nov-2024,Dec-2025,May-2026,Aug-2028,extrapolation - unverifiable beyond 1 year,1.7,6.7,18.1,36.0,64.0,within benchmark range,sector,agency's own forecast is 13 months past its approved date; 2.1y past original commissioning date
N24001564,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-7),ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,96.5,0.0,91.4,Critical,662.1,662.1,0.0,0.0,low - flagged for escalation,Oct-2019,Jul-2023,Jul-2025,Jul-2025,Jul-2026,Oct-2028,extrapolation - unverifiable beyond 1 year,2.3,8.8,24.0,36.0,64.0,within benchmark range,sector,23 months past original date; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001436,TAMENGLONG - MAHUR PKG-5,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,84.9,0.41,89.4,Critical,477.9,477.9,0.0,0.0,low - flagged for escalation,Aug-2021,May-2023,Jan-2025,Jan-2026,May-2026,Aug-2028,extrapolation - unverifiable beyond 1 year,1.3,5.3,20.1,36.0,64.0,within benchmark range,sector,agency's own forecast is 12 months past its approved date; 2.1y past original commissioning date; date already moved 3x in 10 months
N24001663,SIX LANING OF NEELESHWARAM TO THALIPARAMBHA SECTION FROM CH. 94+540 (EXISTING KM 96+450) TO CH. 134+,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,82.8,3.11,89.4,Critical,3041.6,3867.7,826.1,27.2,low - flagged for escalation,Jun-2020,Apr-2024,Oct-2021,Mar-2026,Apr-2027,Aug-2029,extrapolation - unverifiable beyond 1 year,0.3,1.1,-30.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 53 months past its approved date; 14 months past original date
N24001629,6L WITH ACCESS CONTROL PROVISION SAHARANPUR BYPASS TO GANESHPUR SECTION FROM 13.89 KM TO 41.820 KM O,ROAD TRANSPORT AND HIGHWAYS,NHAI,MULTI STATE,91.7,4.0,89.3,Critical,796.6,796.6,0.0,0.0,low - flagged for escalation,Apr-2022,Nov-2024,Jul-2025,Jul-2025,Nov-2027,Mar-2030,extrapolation - unverifiable beyond 1 year,0.8,3.3,8.0,36.0,64.0,within benchmark range,sector,7 months past original date; pace is 48% of what the current date needs; date already moved 3x in 10 months
N18000347,BHADLA-II 500MW SOLAR PV PROJECT,POWER,NTPC,RAJASTHAN,60.0,6.67,89.1,Critical,2598.9,2598.9,0.0,0.0,low - flagged for escalation,Jun-2022,Mar-2024,Sep-2025,Sep-2025,Nov-2026,Mar-2028,extrapolation - unverifiable beyond 1 year,0.3,1.0,18.0,33.0,49.0,within benchmark range,sector,15 months past original date
N24001863,"CONSTRUCTION OF 5 HL BRIDGES AT KM 379/000 (PANGAM), KM 439/400 (POTTERU), KM 444/237 (KONGURUKONDA)",ROAD TRANSPORT AND HIGHWAYS,MORTH,ODISHA,30.0,2.86,89.0,Critical,154.0,154.0,0.0,0.0,low - flagged for escalation,Mar-2021,Jun-2024,Oct-2025,May-2025,Jun-2027,Oct-2029,extrapolation - unverifiable beyond 1 year,0.5,1.9,16.0,36.0,64.0,within benchmark range,sector,12 months past original date; pace is 16% of what the current date needs; date already moved 2x in 10 months
N22000359,PUNE-MIRAJ-LONDA (467 KM),RAILWAYS,CR,MAHARASHTRA,84.0,0.0,88.4,Critical,3627.5,7037.2,3409.7,94.0,low - flagged for escalation,Feb-2015,Feb-2025,,May-2025,Nov-2025,Apr-2030,extrapolation - unverifiable beyond 1 year,1.3,5.0,0.0,9.0,62.0,within benchmark range,sector,agency's own forecast is 3 months past its approved date; agency anticipates +94% over approved cost; 4 months past original date
N26000116,MPLS-IP BASED ACCESS AND AGGREGATION NETWORK (MAAN) IN BSNL ALONG WITH TEST AND MEASURING EQUIPMENT,TELECOMMUNICATIONS,BSNL,MULTI STATE,89.2,2.51,88.4,Critical,645.1,645.1,0.0,0.0,low - flagged for escalation,May-2023,Aug-2024,Nov-2024,Jun-2025,Jun-2027,Nov-2029,extrapolation - unverifiable beyond 1 year,0.8,3.0,3.0,34.0,63.8,within benchmark range,all-sector fallback,agency's own forecast is 7 months past its approved date; 10 months past original date
N24001789,CONSTRUCTION OF EIGHT LANE EXPRESSWAY FROM KM 190.000 TO KM 217.500 GANDEVA TO ENA SECTION OF VADODA,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,90.6,2.23,88.4,Critical,1710.3,2665.1,954.8,55.8,low - flagged for escalation,Jul-2020,Aug-2023,,Jul-2025,Aug-2026,Nov-2028,extrapolation - unverifiable beyond 1 year,0.8,3.2,0.0,36.0,64.0,within benchmark range,sector,agency's own forecast is 23 months past its approved date; 22 months past original date; no physical progress for 3 consecutive reports
N18000359,"KHAVDA-2, GUJARAT- ESTABLISHMENT OF KHAVDA POOLING STATION-2 (KPS2) IN KHAVDA RE PARK",POWER,PGCIL,GUJARAT,93.6,6.29,88.4,Critical,966.8,966.8,0.0,0.0,low - flagged for escalation,Mar-2023,Dec-2024,,Aug-2025,Sep-2027,Dec-2028,extrapolation - unverifiable beyond 1 year,5.3,19.7,0.0,33.0,49.0,within benchmark range,sector,agency's own forecast is 8 months past its approved date; 6 months past original date
N24001606,4-LANING OF VADIPPATTI - THAMARAIPATTI SECTION OF NH-744A (MADURAI RING ROAD),ROAD TRANSPORT AND HIGHWAYS,NHAI,TAMIL NADU,80.3,1.57,88.4,Critical,854.9,854.9,0.0,0.0,low - flagged for escalation,Dec-2018,Mar-2022,Sep-2025,Sep-2025,Sep-2025,Jul-2027,extrapolation - unverifiable beyond 1 year,1.0,4.1,42.0,42.0,64.0,exhausted - already later than the typical completed project,sector,3.3y past original commissioning date; pace is 24% of what the current date needs; date already moved 3x in 10 months
N22000032,MANOHARABAD-KOTHPALL NEW LINE(SCR),RAILWAYS,SCR,TELANGANA,0.0,0.0,88.3,Critical,1160.5,3014.0,1853.5,159.7,low - flagged for escalation,Apr-2006,Mar-2027,,Mar-2025,Dec-2027,Apr-2032,extrapolation - unverifiable beyond 1 year,0.7,2.7,0.0,10.0,62.0,within benchmark range,sector,agency anticipates +160% over approved cost; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001444,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SINDHREJ VILLAGE (CH. 22.00 TO CH. 48.52) SECTION,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,91.5,2.25,88.1,Critical,882.0,1229.4,347.4,39.4,low - flagged for escalation,May-2020,Jan-2024,Jul-2025,Jul-2025,Jan-2027,May-2029,extrapolation - unverifiable beyond 1 year,1.0,3.9,18.0,36.0,64.0,within benchmark range,sector,17 months past original date; pace is 26% of what the current date needs; date already moved 3x in 10 months
N22000181,JAYNAGAR-BIJALPURA INCLUDING EXTENSION BIJALPURA- BARDIBAS(NEPAL) GC,RAILWAYS,ECR,BIHAR,75.0,-0.17,87.8,Critical,548.0,783.8,235.8,43.0,low - flagged for escalation,Apr-2009,Mar-2022,,Mar-2026,Mar-2026,Nov-2027,extrapolation - unverifiable beyond 1 year,2.4,9.3,0.0,48.0,68.4,exhausted - already later than the typical completed project,sector,agency's own forecast is 48 months past its approved date; agency anticipates +43% over approved cost; 3.3y past original commissioning date
N04000101,CONSTRUCTION OF NEW TERMINAL BUILDING AT JODHPUR AIRPORT,CIVIL AVIATION,AAI,RAJASTHAN,77.8,3.64,87.7,Critical,480.0,480.0,0.0,0.0,low - flagged for escalation,May-2022,Nov-2024,Oct-2025,Oct-2025,Sep-2027,Feb-2030,extrapolation - unverifiable beyond 1 year,0.3,1.1,11.0,34.0,63.8,within benchmark range,all-sector fallback,7 months past original date
N24001403,TAMENGLONG - MAHUR PKG-2,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,92.9,0.16,87.6,Critical,483.9,483.9,0.0,0.0,low - flagged for escalation,Jul-2021,Mar-2023,Jan-2025,Dec-2025,Mar-2026,Jun-2028,extrapolation - unverifiable beyond 1 year,4.7,17.5,22.1,36.0,64.0,within benchmark range,sector,agency's own forecast is 11 months past its approved date; 2.3y past original commissioning date; date already moved 2x in 10 months
N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED WORKS AT GOA AIRPORT.,CIVIL AVIATION,AAI,GOA,86.8,3.42,87.5,Critical,255.7,255.7,0.0,0.0,low - flagged for escalation,Nov-2017,Sep-2021,Aug-2025,Aug-2025,Aug-2025,Dec-2026,extrapolation - unverifiable beyond 1 year,2.3,8.7,47.0,47.0,63.8,exhausted - already later than the typical completed project,all-sector fallback,3.7y past original commissioning date; date already moved 2x in 10 months
