project_code,project_name,sector,agency,state,cost_cr,physical_progress_pct,risk_score,tier,why
N24001567,DELHI-VADODARA GREENFIELD ALIGNMENT (NH-148N) (PKG-10) (CH. 292.950 TO CH. 319.400) [END OF INTERCHA,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,1272.97,89.63,94.0,Critical,2.7y past original commissioning date; pace is 14% of what the current date needs; date already moved 3x in 10 months
N04000083,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI,CIVIL AVIATION,AAI,ASSAM,1142.0,89.66,93.5,Critical,agency anticipates +104% over approved cost; 4.3y past original commissioning date; spend outruns works by 81pp
N24001405,CHURACHANPUR TUIVAI PKG-3,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,673.27,80.28,93.1,Critical,"agency's own forecast is 9 months past its approved date; 20 months past original date; already past planned completion, no revised pace available"
N24002058,ADDITIONAL STRUCTURES ON 6LGURGAON-JAIPUR SECTION OF NH- 48 BETWEEN KM 42.700 TO KM 273.00,ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,409.64,81.65,92.6,Critical,12 months past original date; pace is 22% of what the current date needs; date already moved 2x in 10 months
N24001437,TAMENGLONG - MAHUR PKG-6,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,311.18,83.78,91.7,Critical,"agency's own forecast is 13 months past its approved date; 2.1y past original commissioning date; already past planned completion, no revised pace available"
N24001564,DEOGARH (NEAR DHANDHANIYA)- RAJASTHAN/GUJARAT BORDER (PHASE-I) (AJ/DRGB-PACKAGE-7),ROAD TRANSPORT AND HIGHWAYS,NHAI,RAJASTHAN,662.08,96.5,91.4,Critical,23 months past original date; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001436,TAMENGLONG - MAHUR PKG-5,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,477.86,84.87,89.4,Critical,"agency's own forecast is 12 months past its approved date; 2.1y past original commissioning date; already past planned completion, no revised pace available"
N24001663,SIX LANING OF NEELESHWARAM TO THALIPARAMBHA SECTION FROM CH. 94+540 (EXISTING KM 96+450) TO CH. 134+,ROAD TRANSPORT AND HIGHWAYS,NHAI,KERALA,3867.66,82.75,89.4,Critical,"agency's own forecast is 53 months past its approved date; 14 months past original date; already past planned completion, no revised pace available"
N24001629,6L WITH ACCESS CONTROL PROVISION SAHARANPUR BYPASS TO GANESHPUR SECTION FROM 13.89 KM TO 41.820 KM O,ROAD TRANSPORT AND HIGHWAYS,NHAI,MULTI STATE,796.65,91.71,89.3,Critical,7 months past original date; pace is 48% of what the current date needs; date already moved 3x in 10 months
N18000347,BHADLA-II 500MW SOLAR PV PROJECT,POWER,NTPC,RAJASTHAN,2598.92,60.0,89.1,Critical,15 months past original date
N24001863,"CONSTRUCTION OF 5 HL BRIDGES AT KM 379/000 (PANGAM), KM 439/400 (POTTERU), KM 444/237 (KONGURUKONDA)",ROAD TRANSPORT AND HIGHWAYS,MORTH,ODISHA,154.05,30.0,89.0,Critical,12 months past original date; pace is 16% of what the current date needs; date already moved 2x in 10 months
N22000359,PUNE-MIRAJ-LONDA (467 KM),RAILWAYS,CR,MAHARASHTRA,3627.0,84.0,88.4,Critical,agency's own forecast is 3 months past its approved date; agency anticipates +94% over approved cost; 4 months past original date
N26000116,MPLS-IP BASED ACCESS AND AGGREGATION NETWORK (MAAN) IN BSNL ALONG WITH TEST AND MEASURING EQUIPMENT,TELECOMMUNICATIONS,BSNL,MULTI STATE,645.13,89.15,88.4,Critical,"agency's own forecast is 7 months past its approved date; 10 months past original date; already past planned completion, no revised pace available"
N24001789,CONSTRUCTION OF EIGHT LANE EXPRESSWAY FROM KM 190.000 TO KM 217.500 GANDEVA TO ENA SECTION OF VADODA,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,2665.08,90.56,88.4,Critical,agency's own forecast is 23 months past its approved date; 22 months past original date; no physical progress for 3 consecutive reports
N18000359,"KHAVDA-2, GUJARAT- ESTABLISHMENT OF KHAVDA POOLING STATION-2 (KPS2) IN KHAVDA RE PARK",POWER,PGCIL,GUJARAT,966.79,93.6,88.4,Critical,"agency's own forecast is 8 months past its approved date; 6 months past original date; already past planned completion, no revised pace available"
N24001606,4-LANING OF VADIPPATTI - THAMARAIPATTI SECTION OF NH-744A (MADURAI RING ROAD),ROAD TRANSPORT AND HIGHWAYS,NHAI,TAMIL NADU,854.94,80.3,88.4,Critical,3.3y past original commissioning date; pace is 24% of what the current date needs; date already moved 3x in 10 months
N22000032,MANOHARABAD-KOTHPALL NEW LINE(SCR),RAILWAYS,SCR,TELANGANA,1160.48,0.0,88.3,Critical,agency anticipates +160% over approved cost; no physical progress for 9 consecutive reports; pace is 0% of what the current date needs
N24001444,CONSTRUCTION OF FOUR LANE EXPRESSWAY FROM START OF SINDHREJ VILLAGE (CH. 22.00 TO CH. 48.52) SECTION,ROAD TRANSPORT AND HIGHWAYS,NHAI,GUJARAT,1229.37,91.54,88.1,Critical,17 months past original date; pace is 26% of what the current date needs; date already moved 3x in 10 months
N22000181,JAYNAGAR-BIJALPURA INCLUDING EXTENSION BIJALPURA- BARDIBAS(NEPAL) GC,RAILWAYS,ECR,BIHAR,548.0,75.0,87.8,Critical,agency's own forecast is 48 months past its approved date; agency anticipates +43% over approved cost; 3.3y past original commissioning date
N04000101,CONSTRUCTION OF NEW TERMINAL BUILDING AT JODHPUR AIRPORT,CIVIL AVIATION,AAI,RAJASTHAN,480.0,77.75,87.7,Critical,7 months past original date
N24001403,TAMENGLONG - MAHUR PKG-2,ROAD TRANSPORT AND HIGHWAYS,NHIDCL,MANIPUR,483.87,92.94,87.6,Critical,"agency's own forecast is 11 months past its approved date; 2.3y past original commissioning date; already past planned completion, no revised pace available"
N04000095,EXTENSION OF EXISTING INTEGRATED TERMINAL BUILDING AND ALLIED WORKS AT GOA AIRPORT.,CIVIL AVIATION,AAI,GOA,255.69,86.75,87.5,Critical,3.7y past original commissioning date; date already moved 2x in 10 months
N42000001,CONSTRUCTION AND DEVELOPMENT OF NATINAL INSTITUTE OF TECHNOLOGY MEGHALAYA PERMANENT CAMPUS AT SOHRA,DEPARTMENT OF HIGHER EDUCATION,RITES OF HIGHER,MEGHALAYA,429.7,84.0,87.4,Critical,agency anticipates +15% over approved cost; 10.7y past original commissioning date; pace is 6% of what the current date needs
N18000379,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART E2,POWER,PGCIL,RAJASTHAN,428.0,45.0,87.1,Critical,"agency's own forecast is 3 months past its approved date; already past planned completion, no revised pace available"
