project_code,project_name,sector,agency,state,cost_cr,physical_progress_pct,risk_score,tier,why
618645,4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,Roads & Highways,nhai,Jharkhand,1030.64,78.1,93.0,Critical,13 months past original date; needs 7.2%/month to hit current date
618687,Outer Ring Road of Jabalpur Town from Barela to Manegaon Pkg-1,Roads & Highways,nhai,Madhya Pradesh,651.88,89.72,93.0,Critical,16 months past original date; needs 10.1%/month to hit current date
618788,4L Greenfield Jalbhera Shahbad section from km. 0.000 to km. 22.850 of NH-152G,Roads & Highways,nhai,Haryana,1173.66,87.05,92.8,Critical,14 months past original date; cost already revised +27%; needs 12.7%/month to hit current date
618013,4-laning of Puttaparthi-Koduru Section of NH-342,Roads & Highways,morth,Andhra Pradesh,909.19,90.19,92.7,Critical,8 months past original date; needs 9.6%/month to hit current date
617983,Widening & Strengthening of Existing 2LPS to 4 lane PS from Km 150000 to Km 159000 and Km 165400 to Km 186000 of NH-163 old NH-202 under NH O for the year 2020-21 on EPC Mode in the state of Telangana.,Roads & Highways,morth,Telangana,300.56,91.0,92.6,Critical,"24 months past original date; already rescheduled, 2.1y slip declared; needs 8.8%/month to hit current date"
618949,4L of Basukinath- Deoghar Section of NH-114A,Roads & Highways,nhai,Jharkhand,1553.76,90.53,92.5,Critical,7 months past original date; needs 9.3%/month to hit current date
618798,4L of Sonauli - Gorakhpur,Roads & Highways,nhai,Uttar Pradesh,2275.43,89.0,91.9,Critical,16 months past original date; needs 5.4%/month to hit current date
618826,4 Laning of NH-544D from Km 0.000 to km 37.000 of Anantapur- Muchukota section Pkg-1,Roads & Highways,nhai,Andhra Pradesh,905.98,92.34,91.6,Critical,12 months past original date; needs 7.5%/month to hit current date
618500,Construction of 4L Connector from Delhi Meerut Expressway Km 50.000 of Pkg IV to Km 8.520 of NH-235 Pkg-5,Roads & Highways,nhai,Uttar Pradesh,1116.19,78.0,91.5,Critical,"2.3y past original commissioning date; already rescheduled, 2.4y slip declared; needs 21.6%/month to hit current date"
619292,4L Medinipur to Ballupur from Km. 458.65 to Km. 487.65 of NH-07Pkg-2,Roads & Highways,nhai,Uttarakhand,1072.5,93.9,91.4,Critical,17 months past original date; needs 6.0%/month to hit current date
617932,Construction of New Four Lane Bypass to Parbhani City Parwa to Asola Km 463/265 to Km 481/180 Design Ch. 19220 to Ch. 34434 Length-15.214 Km section of NH-61 on EPC mode in the State of Maharashtra.,Roads & Highways,morth,Maharashtra,496.64,70.14,91.2,Critical,21 months past original date; needs 9.9%/month to hit current date
618557,4L of Indora Chowk to Pachpaoli and Agrasen Chowk - Ashoka Chowk,Roads & Highways,nhai,Maharashtra,918.53,84.0,91.0,Critical,1 months past original date; needs 7.9%/month to hit current date
618778,4L of Madanapalle to Pileru Section from Km 0.000 to Km 55.900 of NH-71Package-I,Roads & Highways,nhai,Andhra Pradesh,1994.1,94.9,91.0,Critical,18 months past original date; needs 5.0%/month to hit current date
618478,Bangalore Chennai Expressway Phase-III Package II Walajahpet to Arakkonam from Km 180.000 to Km 204.500,Roads & Highways,nhai,Tamil Nadu,1106.65,93.04,91.0,Critical,"24 months past original date; already rescheduled, 2.1y slip declared; needs 6.8%/month to hit current date"
618765,4L of Karimnagar-Warangal section from km 49.500 to km 117.820 of NH-563,Roads & Highways,nhai,Telangana,2486.51,92.4,91.0,Critical,12 months past original date; cost already revised +16%; needs 7.5%/month to hit current date
618037,Rehabilitation and Up-gradation of existin of road from 2-lane to 2-lane with paved shoulders from km. 0.00 to km 53.590 total length-53.590 km of Raychoti to Vempalli section of NH-440 in the State of Andhra Pradesh on EPC mode.,Roads & Highways,morth,Andhra Pradesh,359.52,90.2,91.0,Critical,"2.2y past original commissioning date; already rescheduled, 2.3y slip declared"
618473,Vadodara Mumbai Expressway Phase II - Pkg XVII [Km. 69.800 to Km. 79.783 of Spur] Bhoj - Morbe,Roads & Highways,nhai,Maharashtra,2463.02,90.73,90.8,Critical,12 months past original date; cost already revised +12%; needs 9.1%/month to hit current date
